year,aef_dem_eligible_n,conventional_valid_n,final_common_n
2019,21967,21967,21967
2020,21091,21091,21091
2021,21992,21992,21992
2022,22206,22206,22206
2023,15263,15263,15263
2024,21784,21784,21784
