domain,comparison,sample,category,n,value
target,block_distribution,after,b116e93e5683cff43fa8384d6b1737a5d04b3a20ad50cd6e448b41ebbf4f9202,18,0.00016696194195289817
target,block_distribution,after,4153b7366288cf900c3e3c0c6b9dae12f1a6ccd038435b2466866978dc643e00,103,0.0009553933345082507
target,block_distribution,after,8faf3625e914ee5e743f7cee0afd61bb868a347b094e55716d5e1ae967886971,359,0.003329963175616136
target,block_distribution,after,3274ad1e63802d7a7ad394e3a454c640b41bc6b0104e7fe70c614f46d92b663b,429,0.003979259616544073
target,block_distribution,after,c7c6ffe42cb1d8c1096e3d9e34eaaa9b068c7df7ab7d763ff8d39f164abf649a,753,0.00698457457169624
target,block_distribution,after,9c166406f026616618fe1e59c356dda2c1425f18daaabd0e4928bf7106d42e52,422,0.0039143299724512795
target,block_distribution,after,6849010f85badeea0d56774b752d2b82a577bddb11e8c662b3bb4eddc99cf804,189,0.001753100390505431
target,block_distribution,after,f250f3809f05bc0db76d66f172b6092a072c324856028c565761c660125c1112,68,0.000630745114044282
target,block_distribution,after,fb6035c16eda29a4907e9e1af40c4ab52c86b4a0892e6b55d5a217b8eec3f56d,239,0.002216883562596815
target,block_distribution,after,2e3576f0ea3f69b659e1c48e96e2e94fdf32ac21644d3c82ec87d7bb9148f301,421,0.003905054309009452
target,block_distribution,after,4078fcd04766a4073454342e6541ce0c55199f1a184ca5523bab52488ea76b82,307,0.002847628676641097
target,block_distribution,after,814d0e1eac17e293159102341d2df5620b8a5257849ecc90dc57e40173dae0e8,1015,0.009414798393455092
target,block_distribution,after,f68d93717f66e51f52ca4f8be6de3dda31c14340b5559b00a00e54f6a987a593,976,0.009053047519223813
target,block_distribution,after,2f714b4bafcbc79bfa7c6c20498d50dfdd7e01ce637012e32ffd940b4f6bd646,987,0.009155079817083916
target,block_distribution,after,7daeaff5e438b8d0dc64c50823f48c6b296644727b31161164d349a60f12d2fe,1080,0.010017716517173892
target,block_distribution,after,216991cd9cac17259467011af92cef63cec12e861c5d11f48a2440c9ff6220b6,179,0.0016603437560871541
target,block_distribution,after,3b997c3732a7e35ec3ed70d05b29e483542a554b3c5d60255d3622f9aa703370,1142,0.010592807650567207
target,block_distribution,after,24684a3f18af5fb8d3ff92ccaf2dca7fea5d8b7d1527f445ae505b6eb6d9ce82,1059,0.00982292758489551
target,block_distribution,after,bd97946da715407a87f2a2898a27e182e5737e76ac31dd9b442d623e0fbab38b,476,0.004415215798309974
target,block_distribution,after,ad0c99797b2fcfe09ff409c2260e02da0e3a2e96d45ca1b4f8d6741767e5db25,971,0.009006669202014674
target,block_distribution,after,766912eb835050c3947dff278da880fbe277c7a1c2e1a3f7302ab5e0eb50b52a,1063,0.009860030238662821
target,block_distribution,after,3b1490f5cdcacb9f6e5efda2ed924571a72b2747c7ed3cd28ed1ee2c40cab178,1040,0.009646689979500784
target,block_distribution,after,af3a8f77bb12757a670ba2a682dd749d77b8ce0eed46c59f46503c00e0eef0d4,1851,0.01716925303082303
target,block_distribution,after,2196d887006fa0ba2b7fe2c7bac71e3c64564e6b949ea071287a5906a7357ede,461,0.004276080846682559
target,block_distribution,after,12a6126d4b591e121450d367a938c2557642ccaeacb95b9c6bfee36ab702a3fc,25,0.00023189158604569192
target,block_distribution,after,14baa60f87b7815a3ec181acf910b50a5c0c5758527ac5cfc5a6ebd168c3a15d,3,2.782699032548303e-05
target,block_distribution,after,617e5659281dc02918d7c119edbebe0c904fba4cddbfe53024ecac3897d46f2d,157,0.0014562791603669452
target,block_distribution,after,759c541a54bca78b171d39e306e95ec5898958ce9e514b9ab6f980858d05d17c,105,0.000973944661391906
