file,expected_n,observed_n,sha256,status
source_aef_central_y2019_c040.csv,500,500,f8232e710048dedfb6dde9b00b4c4060177794ec63a70ddcf00732ffc7f65a5d,PASS
source_aef_central_y2019_c041.csv,500,500,d648ea7da4f1d50bd63c0bd88897d4a350f2a4e2ab61c69f8a4f2f5775741b48,PASS
source_aef_central_y2019_c042.csv,500,500,dbcc8f9409cdc427da4f5f79e6511feab1e8ac7513ac604df1b7af936eaf23a4,PASS
source_aef_central_y2019_c043.csv,467,467,6af40f67b649350a9134e14418fad9eeb261663110885697037d5d0101980f43,PASS
source_aef_central_y2020_c000.csv,500,500,e530b1a2c77ba5604fc6109c2a5f56f29876dd930ff82de30eac40129d4be843,PASS
source_aef_central_y2020_c001.csv,500,500,69c9ff3dfde1d5332d83388a79131b2db853671a68e0d0b2fe650b700d0e946b,PASS
source_aef_central_y2020_c002.csv,500,500,c9e823691e9fc3d1ed238ef98ddea4c745a52b4a537267041eb24536fdc4374f,PASS
source_aef_central_y2020_c003.csv,500,500,d9ee1f43c1aa8e405560b4b2328b1fa40e82b5c694c6b10ac64f2dc9f05846c3,PASS
source_aef_central_y2020_c004.csv,500,500,1f75d781879c8a25a7ce2cfd6b75163e5cedb9904b80b516bef1e9d7f913203e,PASS
source_aef_central_y2020_c005.csv,500,500,f1dcf09baaa7e842e4c5fe19b774b002e3e91e6c7c874cff0e973890c545c12b,PASS
source_aef_central_y2020_c006.csv,500,500,506c91220afbdd956a76055180180fcd5e29880fbfb7634d142ed12945ebb7b3,PASS
source_aef_central_y2020_c007.csv,500,500,fcf14139bfbfae64809095eb598ee98dd4ab74ff407adc4916cb8ccd8e8a9d88,PASS
source_aef_central_y2020_c008.csv,500,500,b7a8d3078d64c0c9b8e0c9a68d0b84033653160764deb23f256c183067a40895,PASS
source_aef_central_y2020_c009.csv,500,500,c55807e56120b23646ce45a562d88951656b3b41c6218c59b557f280f6706446,PASS
source_aef_central_y2020_c010.csv,500,500,c7785059e9df505cad24bbe6f8aaa2f654a6240d4698fc7e6d7c6dfb65f75798,PASS
source_aef_central_y2020_c011.csv,500,500,4cca9b5df121863c4f8fcdc40f9b77a525527bb050b64e72ac1811872e8caa97,PASS
source_aef_central_y2020_c012.csv,500,500,014484c45b7283b759de069fab48f0ea1d2e36ceb28e6a2f23bf2b1afbe05378,PASS
source_aef_central_y2020_c013.csv,500,500,3be0b8f665df41ad54359599b474fc7c5ba65060d92e8e9caa40972231c659c4,PASS
source_aef_central_y2020_c014.csv,500,500,aeaeff76fefbaf81464530ebfb5cc3f1b3ef028f4027c95ca3df6f3e13746dc2,PASS
source_aef_central_y2020_c015.csv,500,500,274487b56c781b694b3bc4a65fe73cdc4526c7fb9703fadf5e4c85b82b045f3e,PASS
source_aef_central_y2020_c016.csv,500,500,a4ec4048337320aaa80dce3093014ecb88fdd370b99c5b14fcb69f964aeabd26,PASS
source_aef_central_y2020_c017.csv,500,500,ab8d07bd3ce1543bf06cf2ceb3d1cfe1175980ef8ce276c74362b134aa87277b,PASS
source_aef_central_y2020_c018.csv,500,500,b82a0b71c8a70e415bd523f189e40a96bd7c0b256f09142f881b4ab7953e23d6,PASS
source_aef_central_y2020_c019.csv,500,500,c036cd0134820739e032762fc5ccbe24be834cf355f30e7e69fd6f96e64028e6,PASS
source_aef_central_y2020_c020.csv,500,500,cd22925c14c3277b7e00ca3ba9c4fb17e3e4ac0d49f47c5514a3832c1bc87b7b,PASS
source_aef_central_y2020_c021.csv,500,500,99a4f15a6b93edd5a5ac9cfbcf5e22a0443d3c6e1b529df17565fcdb31c030de,PASS
source_aef_central_y2020_c022.csv,500,500,d2224f643967418b3e7c4a5bc3d525eae01ee27fb928c08fa636567c524bd472,PASS
source_aef_central_y2020_c023.csv,500,500,0bfaf4868850c33ca911cd7d5dcbd5d86fb8f694adc31cac6a99f80594da7c43,PASS
source_aef_central_y2020_c024.csv,500,500,edd8149ba3e66e25877f03083612a7428009205aa584bc50f7f7e397fa59da4a,PASS
