shot_number,year,spatial_block_id,spatial_fold,missing_reason
115640800200252622,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252623,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252626,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252629,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252630,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252631,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252632,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252633,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252634,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252635,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252636,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252638,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252640,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252641,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252642,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640800200252643,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252228,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115641100200252678,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252679,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252680,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252681,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252682,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252706,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252711,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252712,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252715,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252717,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252718,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252719,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252720,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252721,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252724,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252725,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252726,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115641100200252728,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115840000300226807,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840100300222009,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840100300222130,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840200300227086,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840200300227236,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840300300222105,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840300300222133,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840500300221848,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840500300221851,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840500300221953,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840600300622588,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840600300622592,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840600300622611,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840600300622738,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840600300622849,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840600300622855,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226848,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226852,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226855,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226881,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226882,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226883,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226922,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226923,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226929,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226973,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300226991,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300227017,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300227018,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300227020,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300227023,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115840800300227025,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115841100300221594,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115841100300221599,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115841100300221682,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115841100300221686,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
115841100300221724,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
