scope,domain,year,image_count,frozen_sample_n,sampled_n,valid_hh_n,valid_hv_n,qa_land_n,valid_palsar_n,missing_fraction,block_id_hash,qa_class,qa_count
block,source,2019,,200.0,,,,,194.0,0.030000000000000027,75b828e95c3fa653022d0881f23fecaeff799b438cb3e644658927ca194534a3,,
block,source,2019,,200.0,,,,,187.0,0.06499999999999995,61700cb3872830cdf68cdd6bb1f5e1dccb19f2275203d59c9991b9b3fa24bbab,,
block,source,2019,,200.0,,,,,200.0,0.0,e1c1a046f1698912dd5ed6de0fb86f550c1005d7edebf47e9e5e3470404a0647,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,7559c022454ec52f72a79e239fee4771bf3006714ea0739a6fcc41fe1b6be776,,
block,source,2019,,200.0,,,,,200.0,0.0,ad70c2978b8d5dd86ffd5edd67a0d546a1ef61431d8ea29d9fd372509636718e,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,1e18e22bba290685ad630653042a7a2306a353c460aeb7d4954565ddeccbd017,,
block,source,2019,,200.0,,,,,170.0,0.15000000000000002,954422debf3e7363b3f429ff875c3ecfad1edbcd125e8b63e104cdbee69a925c,,
block,source,2019,,200.0,,,,,116.0,0.42000000000000004,eb5ec205e9fff7e87e3f105a8afc7f359968f0a16612c3978b18500d00e9fca1,,
block,source,2019,,200.0,,,,,88.0,0.56,c9e9717f42e9003ddba4aa04f537d63b6a17989f8e62489466b147d3bd978a12,,
block,source,2019,,200.0,,,,,124.0,0.38,245b1c921005c5eae76ba9ca107227b83821ac60f9d32079e716f21d3cb0ac37,,
block,source,2019,,200.0,,,,,169.0,0.15500000000000003,b4176e68e6c1e4d177c8772c48efc80cadbb1f4a4207920cdcfa3cd7a06ff7c6,,
block,source,2019,,200.0,,,,,197.0,0.015000000000000013,cb13c6f33a80fe9c126497e97970a16a90a96ebf3cec0a6abaa6b20826c42862,,
block,source,2019,,200.0,,,,,194.0,0.030000000000000027,66a69421d8daa47a5331adf253741c6bae90b1319fa5a7bdd3bd0a058aceb30f,,
block,source,2019,,200.0,,,,,200.0,0.0,cf1c09d8436e2f42149f5262054522fb0f44292b3444805cb45508c69fb5e1cf,,
block,source,2019,,200.0,,,,,137.0,0.31499999999999995,472b6d06ec616afd1f38b3c825891e6bbaba9a6f80e2885986b432560a74d892,,
block,source,2019,,200.0,,,,,78.0,0.61,a80b2dea746366bb80ab6e1b08089d18ce49b0ff7c1c81b4fcdb489abf0c35c1,,
block,source,2019,,200.0,,,,,69.0,0.655,3acec4a87584c5d44c329684a8e679f72ded322e1922f45a221fd9cd2215633e,,
block,source,2019,,200.0,,,,,120.0,0.4,1d3ef87a6b0e393d2d1f0f0f3f619ea28424f2e3a3004ffabf2786bfd3871ef9,,
block,source,2019,,200.0,,,,,182.0,0.08999999999999997,97aef3ef1cfbef42801395d87f32b3628b23f6d3de28087198870d4f2550055b,,
block,source,2019,,200.0,,,,,200.0,0.0,f789525d6cbaaeeec671792bdba3add039cdc36b83c2cf509ae2e3f8e7a5aae0,,
block,source,2019,,200.0,,,,,200.0,0.0,7579552c5c868db022e7fa3b5cbe047e0c71d197ed6f13a00bad2c80ca32e56b,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,c10bb48ce438ecf3915cbfbfba26ff730b811c27511fc9b8cdb9f090abce2603,,
block,source,2019,,200.0,,,,,200.0,0.0,1523ef3f012acaaf0ca938225299249bf7e9cb76dcf662e16f24830ab88a2e02,,
block,source,2019,,200.0,,,,,200.0,0.0,12d27f0f6a556be6c625a1c8e509e7aa9b8081bd07014e419d3aca57e1acbe80,,
block,source,2019,,200.0,,,,,113.0,0.43500000000000005,409e344a63a2f0c94af7aad2fd68ed586b9454f5d739b14548f0b7d53362f924,,
block,source,2019,,200.0,,,,,131.0,0.345,d962105a3513bb67eb77b8fac3f0b9d5d3a3b3af2ceec04140f20971867791af,,
block,source,2019,,200.0,,,,,189.0,0.05500000000000005,319ddfdec41de16f3e76200807d6206ddcae0c6591206fdddb187420ff4d8b9f,,
