representation,R2,RMSE,MAE,Bias,N,R2_std,RMSE_std,MAE_std,Bias_std,evaluation,common_sample,quick_smoke
dem,0.09861993761604959,103.34990950879501,78.72473092870909,1.9337540921938048,91526,0.02452430376482122,2.6305109583378896,1.6647526389839848,6.647237171960122,nested_source_spatial_cv,True,False
sentinel1_c,0.27759785882820376,92.52213357856864,65.0599920904852,0.7471238744636471,91526,0.022282116942938673,2.4213225251931183,0.8500991375619427,4.381521498922449,nested_source_spatial_cv,True,False
palsar_l,0.29895173917467255,91.14441986223783,63.190505181655524,0.5815016166495034,91526,0.023840700802113902,2.389614891926244,0.2963125870410472,3.3709800341776655,nested_source_spatial_cv,True,False
sentinel1_c_palsar_l,0.3458088309865929,88.04576383159096,60.103768109362264,0.5656944151974285,91526,0.024515695820587984,2.533097355914196,0.34989131766119286,3.3796558184144003,nested_source_spatial_cv,True,False
sentinel1_sentinel2,0.41539157316981734,83.23168031972267,55.345892318934226,0.3362992196954862,91526,0.029039226800648653,2.933549633998498,0.2694318612544238,2.339142364086943,nested_source_spatial_cv,True,False
palsar_sentinel2,0.41621731581375654,83.17287836714195,55.27014039149396,0.4561944181098007,91526,0.028512548915850398,2.8927407925841093,0.18300414621752362,2.588773294650714,nested_source_spatial_cv,True,False
sentinel1_palsar_sentinel2,0.42646419390491186,82.43969853810891,54.386655324504304,-0.17132263828560237,91526,0.027148666844106262,2.813365718101705,0.2610429216651413,2.1785098470393183,nested_source_spatial_cv,True,False
alphaearth,0.5708688933609868,71.31011308428442,43.28762324489636,0.37908591302507727,91526,0.033111259944091295,3.592681409869311,0.4912016982852838,0.6064197628622938,nested_source_spatial_cv,True,False
