representation,source_cv_R2,source_cv_RMSE,source_cv_MAE,source_cv_Bias,source_cv_N,target_zero_shot_R2,target_zero_shot_RMSE,target_zero_shot_MAE,target_zero_shot_Bias,target_zero_shot_N
dem,0.0986199376160495,103.349909508795,78.72473092870909,1.9337540921938048,91526,-0.6844658429066757,113.25320517349626,90.91604458648447,63.19542925973654,102315
sentinel1_c,0.2775978588282037,92.52213357856864,65.0599920904852,0.7471238744636471,91526,-0.7132710607386634,114.21744394796455,88.72270613971142,46.49289618624013,102315
palsar_l,0.2989517391746725,91.14441986223784,63.19050518165552,0.5815016166495034,91526,-0.3876311578280165,102.79131424775544,80.40922500883067,47.804757562477455,102315
sentinel1_c_palsar_l,0.3458088309865929,88.04576383159096,60.10376810936226,0.5656944151974285,91526,-0.5152853235640231,107.4154137860076,84.92865342100144,54.18833728225669,102315
sentinel1_sentinel2,0.4153915731698173,83.23168031972267,55.34589231893423,0.3362992196954862,91526,-0.8762635052856336,119.52708082862856,91.37632989800066,60.12006167968161,102315
palsar_sentinel2,0.4162173158137565,83.17287836714195,55.27014039149396,0.4561944181098007,91526,-0.4130253546599509,103.72761079185103,78.488047410445,43.14173163981663,102315
sentinel1_palsar_sentinel2,0.4264641939049118,82.43969853810891,54.386655324504304,-0.1713226382856023,91526,-1.187487253316211,129.06014920781743,100.19523704004013,74.1636282483563,102315
alphaearth,0.5708688933609868,71.31011308428442,43.28762324489636,0.3790859130250772,91526,-0.6606953300452996,112.45127386538158,85.23076921106532,54.865927474120056,102315
