representation,budget,runs,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,MAE_sd,Bias_mean,Bias_sd,first_positive_R2_labels
alphaearth,25,15,-0.07871577428528541,0.12544566641059818,90.3585486245912,7.47469483614432,62.45594326531133,7.284149751302436,-1.1364333177516945,16.990246495557127,100
alphaearth,50,15,-0.0085455248918833,0.07744901420719341,87.44910139358066,6.312463971953237,59.57325353102916,5.435199912568116,-1.431035928748275,12.123469763933615,100
alphaearth,100,15,0.02441839033051029,0.07917691987652634,85.91318209579828,4.534639698970949,57.67927259177422,3.3876174931529466,-0.7556423776502903,5.712793692865965,100
alphaearth,250,15,0.0503331385754542,0.06816755942968634,84.87696722773052,6.102518887699064,56.585556993101825,3.681637103571632,-0.3904874099546376,5.055165091768242,100
alphaearth,500,15,0.08453955599965492,0.0323392318387485,83.35616017718884,5.196667267079889,55.22783285331435,2.756711681238117,-0.22589412501072595,4.102140070596928,100
alphaearth,1000,15,0.1074667751597751,0.026497484862134022,82.30441726416706,4.996336790609913,54.095897112815216,1.7593329994365847,-0.5375560809150959,3.4494530051320886,100
alphaearth,2500,15,0.1395526387050325,0.01852021760771823,80.80990945544157,4.725544239817524,52.733002049670766,1.8266172842920856,-0.5036902001616366,2.5257370074389556,100
dem,25,15,-0.08422870035791427,0.11076593107899944,90.67904702357707,7.8359431597124605,63.020459187267235,7.192845206802456,-1.8379921181870065,17.721538379755447,2500
dem,50,15,-0.08827161782274746,0.07164927786392615,90.84502771736226,6.1073960306169255,62.71880238720512,4.668159143353381,-3.4732636532533006,13.906102619815593,2500
dem,100,15,-0.09558886652973339,0.07105543013468958,91.06887015012157,4.401313027825297,62.70817179546461,2.778271014571439,-2.083305517060486,6.944749925905028,2500
dem,250,15,-0.055837289885923465,0.059641313123942094,89.50370368235816,5.937211638941874,61.376511332552006,3.267654120346072,-0.39974490837778004,4.388762384497872,2500
dem,500,15,-0.02767872706024806,0.03919459115096263,88.33444588495666,5.881064927759032,60.27898096192132,3.1938847390924656,-0.72068606507817,4.771405881484561,2500
dem,1000,15,-0.010095304066838725,0.022021720026695907,87.55784904554224,5.165163221066007,59.6157231347625,2.3831675271992454,-0.9696682712511016,3.859124782767133,2500
dem,2500,15,0.009883723625989542,0.017368990378323367,86.68623491836219,5.015419621506399,59.07185164291941,2.4517431060972417,-0.48920539964560583,3.209158969920849,2500
palsar_l,25,15,-0.14562915843698868,0.12463210857911156,93.0662045276691,6.328778794243673,64.99090838081702,5.512292580743682,-2.712253322331779,13.012271631774398,2500
palsar_l,50,15,-0.13370960526808756,0.09103425833789786,92.68169272691802,6.26799253530487,64.60964619391534,4.891353047000234,-3.0736241776397377,12.662780221080002,2500
palsar_l,100,15,-0.14192087791584101,0.08422267220582358,92.96302677145121,4.8334861916291105,64.73648230734489,3.6314198745585555,-0.544503679244224,8.48305867392937,2500
palsar_l,250,15,-0.08104214651681205,0.0571542048995115,90.55131422843448,5.67437937040119,62.18134632568772,2.8325949898512253,-1.0092916371868088,4.972163835973737,2500
palsar_l,500,15,-0.03791466821992923,0.05224637796939983,88.7679900795115,6.183806188569002,60.434260047465365,3.214717612788528,-0.7677656250325965,4.646241963133143,2500
palsar_l,1000,15,-0.009369426190425141,0.024668029537825972,87.51735893308708,5.036042837534259,59.34620402625939,2.2374943379518935,-1.0895273988890668,4.0359396476017295,2500
palsar_l,2500,15,0.020263375158307066,0.01578907476831237,86.2311704515841,4.993679448209525,58.44594114866687,2.387182196669592,-0.5633926483584297,3.282556168929345,2500
palsar_sentinel2,25,15,-0.16008402962960233,0.22570152453594242,93.57031554823611,11.112198656997249,65.38211614664931,9.955330848759044,-1.5083535826508632,17.068706313065114,1000
palsar_sentinel2,50,15,-0.11118255766672644,0.0830759440079534,91.79397615285485,6.582774887191666,63.64907165536831,4.909620404572584,-3.4138072059516165,12.966585958165227,1000
palsar_sentinel2,100,15,-0.10016307526496182,0.09057141828160736,91.27369120303509,5.878235270259379,62.8250971775922,4.406630486056813,-0.24573247688160732,7.9312183497863495,1000
palsar_sentinel2,250,15,-0.046287311229587624,0.0626732629495354,89.11627479031581,6.416866436492604,60.64452662567546,3.77085651433534,-0.5785718172853608,5.574339798864065,1000
