representation,model,config,split_type,R2,RMSE,MAE,Bias,N,R2_std,RMSE_std,MAE_std,Bias_std
alphaearth,random_forest,nested_oof,nested_spatial_cv,0.5761031871412678,69.1130326318012,42.22568320849209,1.0797043120671823,124303,0.025422281275913106,3.179020924153268,0.34892813026866876,0.9819612974432486
alphaearth,xgboost,nested_oof,nested_spatial_cv,0.5768427552440758,69.0527159382571,41.790340255591445,0.6030482632352844,124303,0.026630226829401943,3.2815992582423674,0.38057491185690956,0.5707310657921006
conventional,random_forest,nested_oof,nested_spatial_cv,0.4257937280943529,80.43847719286714,53.5253362012515,1.3705106874129755,124303,0.02407786169433223,2.6828209527803746,0.27903168729730615,1.779181985109541
conventional,xgboost,nested_oof,nested_spatial_cv,0.4273059690564104,80.33248518123392,53.071076570389565,0.21078417756541082,124303,0.023154789724771033,2.7062785311772433,0.19402741169493673,1.3401966628233792
