representation,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
alphaearth,25,1,44,25,20374,-0.4193687290193808,112.83098264905078,83.58531119221571,31.189989890801893
dem,50,1,42,50,20374,-0.12539123953699471,100.46910167340846,67.08516521327628,-18.63372076161249
sentinel1_c,50,1,42,50,20374,-0.11988592075922933,100.22305722261358,66.91973566072413,-13.618457451045904
palsar_l,50,1,42,50,20374,-0.21385982695989636,104.3434094539556,71.54061213867429,-14.294705741440287
sentinel1_c_palsar_l,50,1,42,50,20374,-0.1582233266471953,101.92410527239646,68.71438928231501,-13.083265372025155
sentinel1_sentinel2,50,1,42,50,20374,-0.11598040727933467,100.04814460257452,67.15022468239891,-10.950884333854441
palsar_sentinel2,50,1,42,50,20374,-0.11383820419362656,99.95207374247518,67.3938306129157,-10.11014226584815
sentinel1_palsar_sentinel2,50,1,42,50,20374,-0.1238925196054046,100.40218040873228,67.45866019896222,-10.116157373900407
alphaearth,50,1,42,50,20374,-0.03865778703571343,96.51992922341717,64.56282033972278,-4.332674231553973
dem,50,1,43,50,20374,-0.016523233448166197,95.48593578992079,62.727990678941374,-7.263789167728485
sentinel1_c,50,1,43,50,20374,-0.08849528415803376,98.80843711259722,65.75381297924115,-11.082089051874927
palsar_l,50,1,43,50,20374,-0.054883797795059586,97.2709292995008,64.4608973558081,-8.116524058781721
sentinel1_c_palsar_l,50,1,43,50,20374,-0.09986188079804936,99.32300012697809,66.67301010426709,-10.305671638307738
sentinel1_sentinel2,50,1,43,50,20374,-0.06723789287034965,97.83885744639748,66.51915933529088,-2.232432420987872
palsar_sentinel2,50,1,43,50,20374,-0.09957988836745613,99.3102666509864,67.72834306604321,-4.242959805120414
sentinel1_palsar_sentinel2,50,1,43,50,20374,-0.07772433513633614,98.31835390004002,66.86474615175696,-3.458157279262226
alphaearth,50,1,43,50,20374,0.07486728985136448,91.0925316934021,58.06993702092745,-9.067546776853108
dem,50,1,44,50,20374,-0.21313756050636967,104.31236181706097,75.49713110074678,23.9167486873455
sentinel1_c,50,1,44,50,20374,-0.31637523959152936,108.66022662090724,79.18271028420537,23.412537943843468
palsar_l,50,1,44,50,20374,-0.2531265240765441,106.01766023447101,75.5400933671534,18.742156631958572
sentinel1_c_palsar_l,50,1,44,50,20374,-0.25641629781551645,106.15673059278753,76.28117407446268,24.043467743015576
sentinel1_sentinel2,50,1,44,50,20374,-0.4189831423374202,112.81565573700186,81.41549584150633,22.372110954772765
palsar_sentinel2,50,1,44,50,20374,-0.3014340785627556,108.04180756071868,76.7327597976434,17.626811084764704
sentinel1_palsar_sentinel2,50,1,44,50,20374,-0.321411347787006,108.86788104020003,78.17847115845422,21.643671418510056
alphaearth,50,1,44,50,20374,-0.22201604075231685,104.69337669155225,75.68200327650474,27.411155199052565
dem,100,1,42,100,20374,-0.059055427959254114,97.46307272013716,65.13064797523644,-8.023242397594277
sentinel1_c,100,1,42,100,20374,-0.09845584184133416,99.25949366745297,66.55212920909732,-9.55673271847382
palsar_l,100,1,42,100,20374,-0.09098677159270663,98.92145518075588,66.01138085433765,-11.209444224395842
sentinel1_c_palsar_l,100,1,42,100,20374,-0.09222027645292807,98.97736127808041,66.08672139761681,-9.840004941090786
sentinel1_sentinel2,100,1,42,100,20374,-0.06964622214710703,97.94918683335287,65.31766176657078,-10.689375327244232
palsar_sentinel2,100,1,42,100,20374,-0.049150397034126714,97.00623044480034,64.05717906139742,-11.41811612324489
sentinel1_palsar_sentinel2,100,1,42,100,20374,-0.05389977824765424,97.22555044920841,64.64855870808081,-8.846520763507543
alphaearth,100,1,42,100,20374,0.05578337771942887,92.02727763641076,60.19951815168697,-1.9991488284354595
dem,100,1,43,100,20374,-0.04107173775800255,96.63202540031354,63.62786105359698,-9.197733972480933
sentinel1_c,100,1,43,100,20374,-0.04685534813480219,96.90007029316514,64.20376514044635,-4.875683056576275
palsar_l,100,1,43,100,20374,-0.0539396717413505,97.2273905815719,64.34482742692981,-8.31014268715358
sentinel1_c_palsar_l,100,1,43,100,20374,-0.03708619407912184,96.44687943414597,63.61561814930789,-5.0519137023107055
sentinel1_sentinel2,100,1,43,100,20374,-0.04067764851160027,96.61373403515427,63.81038126862101,-7.011669911529805
palsar_sentinel2,100,1,43,100,20374,-0.051249269676572284,97.10321463120832,64.75550374110048,-6.909386720822511
sentinel1_palsar_sentinel2,100,1,43,100,20374,-0.03335542255961843,96.27324610552404,63.612354188244936,-6.2730572038156245
alphaearth,100,1,43,100,20374,0.05965498583393203,91.83841232297291,58.3315123392813,-7.71952229908213
dem,100,1,44,100,20374,-0.05334035075519594,97.19974255608892,66.41474471848873,4.679432368145639
sentinel1_c,100,1,44,100,20374,-0.10610860567947444,99.60465594184646,67.72384539686138,0.41478160262992675
palsar_l,100,1,44,100,20374,-0.17156650792880512,102.50952661356298,71.52183298035803,10.409815504314622
sentinel1_c_palsar_l,100,1,44,100,20374,-0.15357380540947574,101.71931970239383,70.57769751528012,9.87381964753144
sentinel1_sentinel2,100,1,44,100,20374,-0.2680261367593877,106.64607019386175,74.52605073163821,11.845227749331611
palsar_sentinel2,100,1,44,100,20374,-0.27241426790982515,106.83044051475945,75.18951806159568,18.231875931270483
sentinel1_palsar_sentinel2,100,1,44,100,20374,-0.22764101369762746,104.93405327408206,73.62181613381648,15.539680694628549
alphaearth,100,1,44,100,20374,0.000217483117216144,94.69641176915924,63.70382738212367,7.4395770849704395
dem,250,1,42,250,20374,-0.012695586626780164,95.30599344859708,64.5128611785217,3.9154727514333585
sentinel1_c,250,1,42,250,20374,-0.04991788546742848,97.04170560124008,64.74252415772304,-1.352927238708717
palsar_l,250,1,42,250,20374,-0.011887846799079504,95.26797718564926,63.46330254413198,-1.3278517150236917
sentinel1_c_palsar_l,250,1,42,250,20374,-0.022974153934762764,95.7884365091208,63.291531801306036,-3.114426391880375
sentinel1_sentinel2,250,1,42,250,20374,-0.001922001009344143,94.79768039158051,62.64504165898299,-0.9619705034397498
palsar_sentinel2,250,1,42,250,20374,-0.004986370946882479,94.94253866469359,62.9565993839036,-0.16024356865730602
sentinel1_palsar_sentinel2,250,1,42,250,20374,0.00800311244357288,94.32697536357207,61.77726231137885,-2.0483922791334326
alphaearth,250,1,42,250,20374,0.07911057614365491,90.88338551882984,59.10746007515402,-0.06724478995545946
dem,250,1,43,250,20374,-0.1303092498678189,100.68838960647992,65.6110073855746,-2.7109583857759247
sentinel1_c,250,1,43,250,20374,-0.1998893246517921,103.74121946802913,69.89581773900821,-1.6935522772223757
