year,representation,R2,RMSE,MAE,Bias,N
2019,alphaearth,-1.045393838252592,116.13980519747261,95.45558676354175,76.13665366482836,23130
2019,conventional,-1.4520251387275858,127.16133560959427,102.73985930954883,80.02775225101513,23130
2020,alphaearth,-0.5695982377431892,109.41092072030837,86.23439907713907,61.11984265877909,30832
2020,conventional,-1.3893951499979496,134.99273936784232,108.1971340699591,85.33817286487667,30832
2021,alphaearth,-0.26478610445332595,95.0640576989318,74.07458164143362,42.121401760945986,17483
2021,conventional,-0.8759579327846638,115.77621640151814,92.9372966176543,69.86698546110843,17483
2022,alphaearth,-0.80901101048287,103.38454594815643,81.29664567111247,55.99628835672824,22846
2022,conventional,-1.2595467831635414,115.54354511765811,89.08881403257028,59.13593317766101,22846
2023,alphaearth,-0.6347894587937131,99.95264294720178,79.18361606019504,56.823895841796585,6191
2023,conventional,-1.1329026537347398,114.16918087779148,93.18919825443484,72.97203085471051,6191
2024,alphaearth,-0.3167080629947594,119.20004875714643,84.2113689869849,41.6196239065333,29713
2024,conventional,-0.7980293088984778,139.29324916417653,105.11286501771451,69.83375194165933,29713
