year,spatial_block_id,raw_qa_valid_n,new_sampled_n,sampling_fraction,max_per_block_year,seed
2019,EPSG5070_50KM_26_23,22651,200,0.008829632245816961,200,42
2019,EPSG5070_50KM_26_24,11459,200,0.017453529976437735,200,42
2019,EPSG5070_50KM_26_25,7388,200,0.02707092582566324,200,42
2019,EPSG5070_50KM_26_26,28974,200,0.00690274038793401,200,42
2019,EPSG5070_50KM_26_27,15614,200,0.012809017548354042,200,42
2019,EPSG5070_50KM_26_28,18406,200,0.010866021949364337,200,42
2019,EPSG5070_50KM_27_19,9118,200,0.021934634788330774,200,42
2019,EPSG5070_50KM_27_20,11117,200,0.017990465053521632,200,42
2019,EPSG5070_50KM_27_21,13343,200,0.01498913287866297,200,42
2019,EPSG5070_50KM_27_22,19913,200,0.010043690051725004,200,42
2019,EPSG5070_50KM_27_23,13176,200,0.015179113539769277,200,42
2019,EPSG5070_50KM_27_24,8344,200,0.023969319271332695,200,42
2019,EPSG5070_50KM_27_25,20305,200,0.009849790691947797,200,42
2019,EPSG5070_50KM_27_26,11983,200,0.016690311274305265,200,42
2019,EPSG5070_50KM_27_27,19755,200,0.010124019235636548,200,42
2019,EPSG5070_50KM_27_28,12737,200,0.015702284682421293,200,42
2019,EPSG5070_50KM_28_21,406,200,0.49261083743842365,200,42
2019,EPSG5070_50KM_28_22,6457,200,0.03097413659594239,200,42
2019,EPSG5070_50KM_28_23,7609,200,0.026284662899198317,200,42
2019,EPSG5070_50KM_28_24,9937,200,0.02012679883264567,200,42
2019,EPSG5070_50KM_28_25,22755,200,0.008789277081960008,200,42
2019,EPSG5070_50KM_28_26,19292,200,0.01036699149906697,200,42
2019,EPSG5070_50KM_28_27,16308,200,0.01226391954868776,200,42
2019,EPSG5070_50KM_28_28,2486,200,0.08045052292839903,200,42
2019,EPSG5070_50KM_29_23,5553,200,0.03601656762110571,200,42
2019,EPSG5070_50KM_29_24,18437,200,0.010847751803438737,200,42
2019,EPSG5070_50KM_29_25,10866,200,0.018406037180195105,200,42
2019,EPSG5070_50KM_29_26,24425,200,0.008188331627430911,200,42
2019,EPSG5070_50KM_29_27,17665,200,0.011321822813472968,200,42
2019,EPSG5070_50KM_29_28,8108,200,0.0246669955599408,200,42
2019,EPSG5070_50KM_30_24,6465,200,0.030935808197989172,200,42
2019,EPSG5070_50KM_30_25,22158,200,0.009026085386767758,200,42
2019,EPSG5070_50KM_30_26,12022,200,0.01663616702711695,200,42
2019,EPSG5070_50KM_30_27,14765,200,0.013545546901456146,200,42
2019,EPSG5070_50KM_30_28,1653,200,0.12099213551119177,200,42
2019,EPSG5070_50KM_31_25,139,139,1.0,200,42
2019,EPSG5070_50KM_31_26,4831,200,0.0413992962119644,200,42
2019,EPSG5070_50KM_31_27,1913,200,0.10454783063251437,200,42
2020,EPSG5070_50KM_18_26,58,58,1.0,200,42
2020,EPSG5070_50KM_18_27,827,200,0.2418379685610641,200,42
2020,EPSG5070_50KM_19_23,3,3,1.0,200,42
2020,EPSG5070_50KM_19_24,1367,200,0.14630577907827358,200,42
2020,EPSG5070_50KM_19_25,5602,200,0.03570153516601214,200,42
2020,EPSG5070_50KM_19_26,16225,200,0.012326656394453005,200,42
2020,EPSG5070_50KM_19_27,5440,200,0.03676470588235294,200,42
2020,EPSG5070_50KM_20_18,583,200,0.34305317324185247,200,42
2020,EPSG5070_50KM_20_19,11151,200,0.01793561115595014,200,42
2020,EPSG5070_50KM_20_20,9451,200,0.021161781822029414,200,42
2020,EPSG5070_50KM_20_21,5728,200,0.034916201117318434,200,42
2020,EPSG5070_50KM_20_22,3071,200,0.0651253663301856,200,42
2020,EPSG5070_50KM_20_23,559,200,0.35778175313059035,200,42
2020,EPSG5070_50KM_20_24,1483,200,0.13486176668914363,200,42
2020,EPSG5070_50KM_20_25,6308,200,0.03170577045022194,200,42
2020,EPSG5070_50KM_20_26,9137,200,0.021889022655138448,200,42
2020,EPSG5070_50KM_20_27,25650,200,0.007797270955165692,200,42
2020,EPSG5070_50KM_21_18,18764,200,0.010658708164570454,200,42
2020,EPSG5070_50KM_21_19,29680,200,0.006738544474393531,200,42
2020,EPSG5070_50KM_21_20,18121,200,0.011036918492356934,200,42
2020,EPSG5070_50KM_21_21,12253,200,0.01632253325716151,200,42
2020,EPSG5070_50KM_21_22,5656,200,0.03536067892503536,200,42
2020,EPSG5070_50KM_21_23,1,1,1.0,200,42
2020,EPSG5070_50KM_21_25,3298,200,0.06064281382656155,200,42
2020,EPSG5070_50KM_21_26,12848,200,0.015566625155666251,200,42
2020,EPSG5070_50KM_21_27,10820,200,0.018484288354898338,200,42
2020,EPSG5070_50KM_22_18,20583,200,0.009716756546664724,200,42
2020,EPSG5070_50KM_22_19,29587,200,0.006759725555142461,200,42
2020,EPSG5070_50KM_22_20,17611,200,0.011356538527056953,200,42
2020,EPSG5070_50KM_22_21,8613,200,0.02322071287588529,200,42
2020,EPSG5070_50KM_22_22,8906,200,0.022456770716370984,200,42
2020,EPSG5070_50KM_22_23,6245,200,0.032025620496397116,200,42
2020,EPSG5070_50KM_22_24,4646,200,0.04304778303917348,200,42
2020,EPSG5070_50KM_22_25,8374,200,0.02388344877000239,200,42
2020,EPSG5070_50KM_22_26,7820,200,0.02557544757033248,200,42
2020,EPSG5070_50KM_22_27,13909,200,0.01437917894888202,200,42
2020,EPSG5070_50KM_22_28,724,200,0.27624309392265195,200,42
2020,EPSG5070_50KM_23_18,14465,200,0.013826477704804701,200,42
2020,EPSG5070_50KM_23_19,27071,200,0.007387979756935466,200,42
2020,EPSG5070_50KM_23_20,17300,200,0.011560693641618497,200,42
2020,EPSG5070_50KM_23_21,12724,200,0.01571832756994656,200,42
2020,EPSG5070_50KM_23_22,12099,200,0.016530291759649558,200,42
2020,EPSG5070_50KM_23_23,10561,200,0.01893760060600322,200,42
2020,EPSG5070_50KM_23_24,18008,200,0.011106175033318524,200,42
2020,EPSG5070_50KM_23_25,15878,200,0.012596044841919637,200,42
2020,EPSG5070_50KM_23_26,9857,200,0.020290149132596125,200,42
2020,EPSG5070_50KM_23_27,20935,200,0.009553379508000955,200,42
2020,EPSG5070_50KM_23_28,738,200,0.27100271002710025,200,42
2020,EPSG5070_50KM_24_18,15323,200,0.013052274358807021,200,42
2020,EPSG5070_50KM_24_19,19459,200,0.010278020453260702,200,42
2020,EPSG5070_50KM_24_20,17696,200,0.011301989150090416,200,42
2020,EPSG5070_50KM_24_21,16453,200,0.0121558378411232,200,42
2020,EPSG5070_50KM_24_22,10644,200,0.018789928598271326,200,42
2020,EPSG5070_50KM_24_23,24416,200,0.0081913499344692,200,42
2020,EPSG5070_50KM_24_24,21979,200,0.009099595068019474,200,42
2020,EPSG5070_50KM_24_25,13228,200,0.015119443604475355,200,42
2020,EPSG5070_50KM_24_26,33488,200,0.005972288580984233,200,42
2020,EPSG5070_50KM_24_27,8661,200,0.023092021706500404,200,42
2020,EPSG5070_50KM_24_28,288,200,0.6944444444444444,200,42
2020,EPSG5070_50KM_25_18,11056,200,0.01808972503617945,200,42
2020,EPSG5070_50KM_25_19,16475,200,0.012139605462822459,200,42
