representation,model,config,split_type,R2,RMSE,MAE,Bias,N,elapsed_seconds
alphaearth,random_forest,rf_sqrt,source_tuning_fold0,0.5846057051015984,69.60422219883169,43.14472380901642,0.09399705444677606,24700,4.8
alphaearth,random_forest,rf_half,source_tuning_fold0,0.5870496855941869,69.39916122963047,42.692868997917174,0.2876318674499293,24700,19.54
alphaearth,xgboost,xgb_depth6,source_tuning_fold0,0.5893152839108824,69.20852464776618,42.1064153013815,0.05066738879325823,24700,4.48
alphaearth,xgboost,xgb_depth8,source_tuning_fold0,0.5889639183023623,69.23812435695555,42.20977755547078,0.010077424117499699,24700,5.61
conventional,random_forest,rf_sqrt,source_tuning_fold0,0.4458046366253744,80.39643011365034,53.586575345822716,0.30258109758701746,24700,4.12
conventional,random_forest,rf_half,source_tuning_fold0,0.44707884083326854,80.3039533199158,53.43456202780545,0.6177430936155346,24700,10.31
conventional,xgboost,xgb_depth6,source_tuning_fold0,0.44373477326071,80.5464264372029,53.18472795333415,-0.8187162994352557,24700,2.11
conventional,xgboost,xgb_depth8,source_tuning_fold0,0.43954336389577886,80.84931205929061,53.47019923988762,-0.3674805270941278,24700,2.98
