feature,source_n,target_n,source_mean,target_mean,source_std,target_std,source_median,target_median,ks_statistic,ks_pvalue,wasserstein_distance
VV,124303,130195,-10.257548057071668,-8.97157744217633,1.8828695028940117,4.557455153834147,-10.228277,-9.281627,0.31021981989523595,0.0,2.3781356563610867
VH,124303,130195,-16.018370934024198,-14.89924152170552,2.1303336703247417,4.334393956835611,-15.703884,-15.19848,0.29367850597893275,0.0,1.9569242540993452
NDVI,124303,130195,0.694365230601441,0.763512168250611,0.14381788986808644,0.09581085239992343,0.74748397,0.78839177,0.2571079052260669,0.0,0.06918708235744955
NDMI,124303,130195,0.16373858295567348,0.27951791817356963,0.14155635614647422,0.10575400287644666,0.18725647,0.29162133,0.3596087974726344,0.0,0.11578029857178285
B11,124303,130195,0.18914616485218375,0.15198886246395787,0.06936292931657935,0.04118534422792649,0.1688,0.147,0.19843522365305122,0.0,0.037158455734886305
NDRE,124303,130195,0.4850189902214996,0.5393594223483558,0.1042709702593003,0.0756417329563338,0.5113714,0.555717,0.27353267365123873,0.0,0.05437328160126343
elevation,124303,130195,146.5306628467185,396.3816953716809,156.72404612850283,192.03164364014197,96.24632,355.42905,0.6424488778995023,0.0,249.85103252496242
