representation,biomass_bin,source_edge_low,source_edge_high,N,RMSE,Bias,R2,residual_q25,residual_median,residual_q75,residual_iqr,R2_interpretation
sentinel1_c,0,-inf,15.498886108398438,21967,60.74534976211848,41.393865141683435,-275.8124870812935,8.745750418879727,24.7417448004815,60.07914652306599,51.333396104186264,secondary; unstable under deliberately restricted response variance
sentinel1_c,1,15.498886108398438,69.55107000000004,21965,82.76978760919967,65.56679301903768,-23.444400473891598,27.094241645556544,62.73532993803117,99.99939077548439,72.90514912992785,secondary; unstable under deliberately restricted response variance
sentinel1_c,2,69.55107000000004,124.76090543808596,21966,56.72211517914657,30.192522547402387,-11.989702476621092,-3.232162344700445,28.791820601830636,61.99421114165921,65.22637348635965,secondary; unstable under deliberately restricted response variance
sentinel1_c,3,124.76090543808596,200.86070520000007,21966,50.73504192382879,-15.115706513867396,-4.406775591238875,-47.69787720949198,-16.178172314284716,16.97766041477099,64.67553762426297,secondary; unstable under deliberately restricted response variance
sentinel1_c,4,200.86070520000007,inf,21966,155.12439525079492,-117.67414597728926,-1.7620376876551376,-152.94929950940838,-103.75513625350746,-62.76535489430233,90.18394461510604,secondary; unstable under deliberately restricted response variance
palsar_l,0,-inf,15.498886108398438,21967,56.325263898220825,35.564185720365884,-236.99403583770277,5.398392183766816,17.132485408612695,50.179205761594275,44.78081357782746,secondary; unstable under deliberately restricted response variance
palsar_l,1,15.498886108398438,69.55107000000004,21965,82.10199848553812,65.23143986502708,-23.05155532661803,27.263294988338743,63.71934543324346,99.87369457738514,72.6103995890464,secondary; unstable under deliberately restricted response variance
palsar_l,2,69.55107000000004,124.76090543808596,21966,57.090447573937645,33.78529232904994,-12.158950844113688,3.526927002265108,34.12756621457704,64.03564601603465,60.508719013769536,secondary; unstable under deliberately restricted response variance
palsar_l,3,124.76090543808596,200.86070520000007,21966,49.339882236734134,-13.665308313756386,-4.113502993608469,-44.82681612403212,-13.693519523392055,16.376891994954832,61.20370811898695,secondary; unstable under deliberately restricted response variance
palsar_l,4,200.86070520000007,inf,21966,155.12725303771046,-117.99206748917408,-1.7621394561469175,-154.41935073268704,-102.94277665075813,-63.113061265784516,91.30628946690251,secondary; unstable under deliberately restricted response variance
sentinel1_c_palsar_l,0,-inf,15.498886108398438,21967,48.32484304648395,29.028624842599438,-174.1864482104498,4.291157270679988,13.494500752747244,37.13037928089641,32.839222010216425,secondary; unstable under deliberately restricted response variance
sentinel1_c_palsar_l,1,15.498886108398438,69.55107000000004,21965,79.63970809629399,62.21773481097568,-21.630545766506742,24.525087313530925,58.99149485129834,96.50689080934643,71.98180349581551,secondary; unstable under deliberately restricted response variance
sentinel1_c_palsar_l,2,69.55107000000004,124.76090543808596,21966,57.6748146489564,34.44963959892951,-12.429714619402995,3.1576986791919133,34.828473970943364,65.15210609017954,61.994407410987634,secondary; unstable under deliberately restricted response variance
sentinel1_c_palsar_l,3,124.76090543808596,200.86070520000007,21966,47.17517054590347,-9.746659614576812,-3.6746516700660052,-40.0054395519336,-9.721668933084764,20.679147031487716,60.684586583421314,secondary; unstable under deliberately restricted response variance
sentinel1_c_palsar_l,4,200.86070520000007,inf,21966,150.30824033133845,-112.32425789669084,-1.593193822542053,-146.79371108554193,-97.57878376771588,-57.54575364254725,89.24795744299468,secondary; unstable under deliberately restricted response variance
