representation,method,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
alphaearth,affine,500,1,43,500,26059,0.03579417036679022,93.71361090440692,59.98771422101554,-6.491473933050941
alphaearth,local_xgboost,500,1,43,500,26059,0.08678153240968012,91.20216299285639,57.07490550104935,-5.483834967950773
conventional,bias_only,500,1,43,500,26059,-0.3494023202788572,110.86348382785373,75.53965404772399,-13.729852111381192
conventional,affine,500,1,43,500,26059,0.03449360662665357,93.77679215097328,60.45453635142164,-6.955907117730416
conventional,local_xgboost,500,1,43,500,26059,0.036372723219091574,93.68549117580913,59.25825412206603,-7.269077508561854
alphaearth,bias_only,500,1,44,500,26059,-0.13746304059283387,101.78562382852898,66.67006014069453,-5.60735362211949
alphaearth,affine,500,1,44,500,26059,0.03993525798471842,93.51215295935789,60.45541919305826,-2.4793375626848153
alphaearth,local_xgboost,500,1,44,500,26059,0.07945457374651499,91.56729987023274,58.23965048738973,-2.5522364453831736
conventional,bias_only,500,1,44,500,26059,-0.3294738236412591,110.04180135639771,75.21723605725913,-2.644775663928683
conventional,affine,500,1,44,500,26059,0.04003870154489786,93.50711502276003,61.208111144934556,-1.041586394288969
conventional,local_xgboost,500,1,44,500,26059,-0.0005488183328048457,95.46340864500807,62.8097215723535,0.08909567521445241
alphaearth,bias_only,1000,1,42,1000,26059,-0.1371146477572538,101.77003470755614,66.6803882724062,-5.316875102714703
alphaearth,affine,1000,1,42,1000,26059,0.041826178798092806,93.42001790764192,60.58308314411781,-1.9226855768496882
alphaearth,local_xgboost,1000,1,42,1000,26059,0.103601871413453,90.35834467802064,56.917500033687915,-2.5625750526170386
conventional,bias_only,1000,1,42,1000,26059,-0.3295859830231045,110.04644302737303,75.21263880724175,-2.831327520523902
conventional,affine,1000,1,42,1000,26059,0.04032341500804337,93.49324742784677,61.24604758867539,-0.9159521553647869
conventional,local_xgboost,1000,1,42,1000,26059,0.0426117302741823,93.38171521203816,60.21095766210208,-3.193062104640534
alphaearth,bias_only,1000,1,43,1000,26059,-0.1377243159970487,101.79731324263281,66.66327384123076,-5.815683958004672
alphaearth,affine,1000,1,43,1000,26059,0.03995393857814311,93.51124319206262,60.410379861220754,-2.790618364943016
alphaearth,local_xgboost,1000,1,43,1000,26059,0.09747568442458943,90.66658358490693,56.629471628350615,-3.5047974964723605
conventional,bias_only,1000,1,43,1000,26059,-0.3343487909110161,110.24336956359136,75.2035821431454,-7.169192791813869
conventional,affine,1000,1,43,1000,26059,0.03916863336067766,93.54948086578862,60.96642338447895,-2.6069216241663264
conventional,local_xgboost,1000,1,43,1000,26059,0.03738375641479075,93.63633108996565,59.90381428723476,-2.746798119101652
alphaearth,bias_only,1000,1,44,1000,26059,-0.1442902710790912,102.09063342513225,66.62049387353431,-9.676085449468731
alphaearth,affine,1000,1,44,1000,26059,0.03739052789335895,93.63600174920889,60.00463586174274,-6.380350656887458
alphaearth,local_xgboost,1000,1,44,1000,26059,0.10546436726515007,90.26442460773667,55.998380791425205,-5.425355626848885
conventional,bias_only,1000,1,44,1000,26059,-0.33377548609802155,110.21968391067925,75.1971170490817,-6.795256722277938
conventional,affine,1000,1,44,1000,26059,0.036944473613515716,93.65769377655086,60.637975092438985,-5.158049343500669
conventional,local_xgboost,1000,1,44,1000,26059,0.02574103613584444,94.2008888780005,60.38764598577989,-4.190346193734443
alphaearth,bias_only,2500,1,42,2500,26059,-0.13818839595207733,101.81807278663413,66.65280487079791,-6.1683986953678
alphaearth,affine,2500,1,42,2500,26059,0.041368608623125636,93.44232133052417,60.471420794819785,-2.4045452763282236
alphaearth,local_xgboost,2500,1,42,2500,26059,0.1170864835797043,89.67613423140574,55.746913249848575,-3.131545431461444
conventional,bias_only,2500,1,42,2500,26059,-0.32901603947717994,110.02285411185649,75.24626294585266,-1.6808389186569994
conventional,affine,2500,1,42,2500,26059,0.0403429625003946,93.49229524881376,61.29173746001893,-0.6716619534939199
conventional,local_xgboost,2500,1,42,2500,26059,0.06175238982278597,92.44353175393661,59.431519570091545,-1.4137487732233192
alphaearth,bias_only,2500,1,43,2500,26059,-0.1365912454883884,101.74661015748529,66.69908055630539,-4.847873247102855
alphaearth,affine,2500,1,43,2500,26059,0.0414853425268672,93.43663185533633,60.50883703643447,-2.1382638601486046
alphaearth,local_xgboost,2500,1,43,2500,26059,0.11310715750907929,89.87799397807476,56.20397033726215,-2.663052972237128
