representation,outer_fold,model,config,R2,RMSE,MAE,Bias,N
dem,0,xgboost,xgb_depth6,0.13767325948760034,101.11618362445066,79.15959210042166,1.5902712363414,17834
dem,1,xgboost,xgb_depth6,0.07694443731165468,106.26462750226372,81.82647556320526,14.856721432817881,18242
dem,2,xgboost,xgb_depth6,0.0729776027024629,105.96565245984512,77.52207545843038,-1.040770655658571,18669
dem,3,xgboost,xgb_depth6,0.09209929087716762,103.4783522667766,77.62358279081313,-3.22672575380149,18884
dem,4,xgboost,xgb_depth6,0.11633684968684777,99.5711231596574,77.54627178202868,-2.348147514050901,17897
sentinel1_c,0,random_forest,rf_sqrt,0.3124287308077057,90.29082132262297,65.29097302967479,-0.028372338785242254,17834
sentinel1_c,1,random_forest,rf_sqrt,0.27071152722559344,94.4548965731592,66.59072072941171,9.154851116684718,18242
sentinel1_c,2,random_forest,rf_sqrt,0.24854787417170687,95.40489583973083,64.19358410419639,-0.44534014798965155,18669
sentinel1_c,3,random_forest,rf_sqrt,0.2658995737094536,93.04821904819586,64.40571452480413,-3.707942307069905,18884
sentinel1_c,4,random_forest,rf_sqrt,0.29317473451978115,89.05248974664282,64.86372916069487,-1.1052525170129042,17897
palsar_l,0,random_forest,rf_sqrt,0.3286999432912324,89.21606928183095,63.70331438918538,0.44008926175884566,17834
palsar_l,1,random_forest,rf_sqrt,0.3084016609457567,91.98177225279038,63.2235352551486,6.530996471842833,18242
palsar_l,2,random_forest,rf_sqrt,0.2668534890795411,94.23568440909885,62.81909819857668,0.22124815852436913,18669
palsar_l,3,random_forest,rf_sqrt,0.2764431172522577,92.37759820392183,63.00225676741402,-3.970625296482506,18884
palsar_l,4,random_forest,rf_sqrt,0.31718065452671507,87.52718114742474,63.231892342290685,-0.16280194115312882,17897
sentinel1_c_palsar_l,0,random_forest,rf_sqrt,0.37846463596085245,85.8455258229587,60.56552265896597,0.4947532549154293,17834
sentinel1_c_palsar_l,1,random_forest,rf_sqrt,0.34791317253252685,89.31564027820329,60.47038322449792,6.058415790005952,18242
sentinel1_c_palsar_l,2,random_forest,rf_sqrt,0.31356962885544803,91.18391784758387,59.7303601618204,1.3713231028606572,18669
sentinel1_c_palsar_l,3,random_forest,rf_sqrt,0.32506266125096306,89.21996619531804,59.759210617407064,-4.446781212199284,18884
sentinel1_c_palsar_l,4,random_forest,rf_sqrt,0.36741396700697837,84.24610537962322,60.02303128658772,-0.5136904475736087,17897
sentinel1_sentinel2,0,xgboost,xgb_depth6,0.45031419543623175,80.73131077722397,55.453746074134855,-1.4140979352964214,17834
sentinel1_sentinel2,1,xgboost,xgb_depth6,0.4147517044289776,84.61451725563492,55.36655517353421,3.6710284147603436,18242
sentinel1_sentinel2,2,random_forest,rf_half,0.36811325680587514,87.48621448254572,55.75587507150224,2.48404040586367,18669
sentinel1_sentinel2,3,random_forest,rf_half,0.40648190019145003,83.66567337868119,54.93687569225355,-2.41701720956314,18884
sentinel1_sentinel2,4,random_forest,rf_half,0.44157207343943305,79.1541333141981,55.221262845094174,-0.6537046842382102,17897
palsar_sentinel2,0,xgboost,xgb_depth6,0.44977063778654636,80.77121655459024,55.42890415727899,-1.010655228416147,17834
palsar_sentinel2,1,random_forest,rf_half,0.4178347600818122,84.39135066165095,55.43489343811668,4.6392288514098885,18242
palsar_sentinel2,2,random_forest,rf_half,0.372026264280916,87.21491124264767,55.38898965630334,1.8932015143568015,18669
palsar_sentinel2,3,random_forest,rf_half,0.4016950464268054,84.00238683619042,55.09459192871626,-2.8908480455341286,18884
palsar_sentinel2,4,random_forest,rf_half,0.4440808125681551,78.97613308229941,55.00526036528097,-0.3131553685862796,17897
sentinel1_palsar_sentinel2,0,xgboost,xgb_depth6,0.4594985826052679,80.054023000535,54.660496625919706,-1.0800236373547232,17834
sentinel1_palsar_sentinel2,1,xgboost,xgb_depth6,0.4261856665659852,83.78388577708003,54.62801640889122,3.7603901161880238,18242
sentinel1_palsar_sentinel2,2,xgboost,xgb_depth6,0.38335874457134866,86.42438377495438,54.17744993446615,-0.1355670343769912,18669
sentinel1_palsar_sentinel2,3,xgboost,xgb_depth6,0.41581583564347957,83.00518409227635,53.99718578445071,-2.8860108196100325,18884
sentinel1_palsar_sentinel2,4,random_forest,rf_half,0.45147737583781855,78.44898087747019,54.496942163089884,-0.44622235348638994,17897
alphaearth,0,random_forest,rf_half,0.6077312000341201,68.19878326816062,43.92541450027627,0.4350194880300324,17834
alphaearth,1,xgboost,xgb_depth6,0.5554366447939637,73.74653726108994,43.74766484224921,1.2301106544939113,18242
alphaearth,2,xgboost,xgb_depth6,0.5224011993804105,76.05917611833705,42.569689427046896,0.14367433448359476,18669
alphaearth,3,random_forest,rf_half,0.5649553866103854,71.63037500661046,43.18825912555978,-0.5893541289203729,18884
alphaearth,4,random_forest,rf_half,0.6096969028020833,66.17455543438275,43.03691365153592,0.7233339881983464,17897
