representation,outer_fold,feature,importance_mean,importance_sd,heldout_n
dem,0,elevation,15.497071543773757,0.24260754720352365,5000
dem,0,slope,1.2142130021109903,0.07569537991355445,5000
dem,0,aspect_sin,0.6474142155783843,0.18850786624807223,5000
dem,0,aspect_cos,0.3479395179274765,0.1073129759303695,5000
dem,1,elevation,19.575253449576024,0.5882977169353809,5000
dem,1,slope,-0.06785294106440176,0.2556897572757195,5000
dem,1,aspect_sin,-0.12726792580849158,0.31491560885937214,5000
dem,1,aspect_cos,-1.2038127926131352,0.2203873938583763,5000
dem,2,elevation,12.902976152616953,0.26794677434223496,5000
dem,2,slope,2.170235833983521,0.1480084692441992,5000
dem,2,aspect_sin,1.2824192591265557,0.37460880106072364,5000
dem,2,aspect_cos,-0.34589946214769896,0.13714958414092013,5000
dem,3,elevation,13.478630535190149,0.8344425367446711,5000
dem,3,slope,2.5798618995536438,0.29832312237634384,5000
dem,3,aspect_sin,3.0647157034295796,0.17322182664369937,5000
dem,3,aspect_cos,0.22147873443978008,0.10045826489484448,5000
dem,4,elevation,15.250672353389854,0.3460065433055944,5000
dem,4,slope,1.7539380914595928,0.230199569968453,5000
dem,4,aspect_sin,0.9769153617064035,0.22796902098048125,5000
dem,4,aspect_cos,0.2926117084399256,0.09731108431626148,5000
sentinel1_c,0,VV,1.5122410503387727,0.16123802315642877,5000
sentinel1_c,0,VH,10.18237430995093,0.3436367746754218,5000
sentinel1_c,0,VV_minus_VH,1.6911407420646754,0.12409688196852138,5000
sentinel1_c,0,elevation,6.880004872597003,0.2671046319598616,5000
sentinel1_c,0,slope,1.2715049818223036,0.11750807612929196,5000
sentinel1_c,0,aspect_sin,-0.28309993414655327,0.13442314512859146,5000
sentinel1_c,0,aspect_cos,-0.2885136652402925,0.12457903198830911,5000
sentinel1_c,1,VV,0.2547781909749271,0.11067123433998992,5000
sentinel1_c,1,VH,8.220362208194237,0.2607166566518061,5000
sentinel1_c,1,VV_minus_VH,1.6424491420266445,0.012159822068196323,5000
sentinel1_c,1,elevation,10.690119774590121,0.27901352290652276,5000
sentinel1_c,1,slope,-0.28383125855487396,0.024399532472379422,5000
sentinel1_c,1,aspect_sin,-0.41801886419867645,0.10081454460071858,5000
sentinel1_c,1,aspect_cos,-0.42168011618329143,0.2134461892882428,5000
sentinel1_c,2,VV,1.51610531761186,0.18302359762709783,5000
sentinel1_c,2,VH,8.145283074748292,0.3795898202101484,5000
sentinel1_c,2,VV_minus_VH,1.3455065104333244,0.05132457856207765,5000
sentinel1_c,2,elevation,7.443765495698837,0.2749158494049264,5000
sentinel1_c,2,slope,0.35401277674563875,0.09414650123825327,5000
sentinel1_c,2,aspect_sin,-0.041656345267739425,0.09203779418316509,5000
sentinel1_c,2,aspect_cos,-0.21300398250955274,0.08624647125677798,5000
sentinel1_c,3,VV,1.1148350798917808,0.052415924222110284,5000
sentinel1_c,3,VH,9.047964392090762,0.2862059355565112,5000
sentinel1_c,3,VV_minus_VH,1.2579326689729697,0.24729945011794144,5000
sentinel1_c,3,elevation,4.4182433441502225,0.2881061227716758,5000
sentinel1_c,3,slope,0.691785033258185,0.14091105977500615,5000
sentinel1_c,3,aspect_sin,0.32045919273259454,0.022716571124148013,5000
sentinel1_c,3,aspect_cos,0.1732942281533004,0.11708017944623215,5000
sentinel1_c,4,VV,0.5405190860513187,0.06044751294505538,5000
sentinel1_c,4,VH,8.758149782354081,0.2658107766355467,5000
sentinel1_c,4,VV_minus_VH,1.6239422836806057,0.3016694284258007,5000
sentinel1_c,4,elevation,6.618634470592558,0.10307182698354406,5000
sentinel1_c,4,slope,0.7756532589530328,0.10478037752262294,5000
sentinel1_c,4,aspect_sin,-0.35756251310197246,0.036625659541543495,5000
sentinel1_c,4,aspect_cos,-0.2975192665777513,0.12543205900435186,5000
palsar_l,0,palsar_hh_db,3.1256273769892764,0.060900085865900074,5000
palsar_l,0,palsar_hv_db,11.410277052344881,0.21101494874632637,5000
palsar_l,0,palsar_hh_minus_hv_db,0.03003074358882903,0.025936875459474776,5000
palsar_l,0,palsar_rfdi,0.06662169008473029,0.009363200000453582,5000
palsar_l,0,elevation,5.229474617892213,0.23243614824431091,5000
palsar_l,0,slope,1.0689298290741458,0.1906538811109545,5000
palsar_l,0,aspect_sin,-0.3868558146253018,0.041917679690718294,5000
palsar_l,0,aspect_cos,-0.34588658735612415,0.08354240444686875,5000
palsar_l,1,palsar_hh_db,2.680158215575574,0.04907319442395678,5000
palsar_l,1,palsar_hv_db,9.77810464971995,0.06328269593628118,5000
palsar_l,1,palsar_hh_minus_hv_db,0.24314984146535798,0.08152820440041074,5000
palsar_l,1,palsar_rfdi,0.24703610971103748,0.009320870766569836,5000
palsar_l,1,elevation,7.999282862003895,0.35434613871277065,5000
palsar_l,1,slope,0.1328346891365347,0.15770895685694658,5000
palsar_l,1,aspect_sin,-0.2737165611995067,0.21072226646824516,5000
palsar_l,1,aspect_cos,-0.24651993684849552,0.24103462828580816,5000
palsar_l,2,palsar_hh_db,2.690548326119407,0.15419644866164148,5000
palsar_l,2,palsar_hv_db,8.992815226498891,0.0765076721510162,5000
palsar_l,2,palsar_hh_minus_hv_db,-0.06504990875539345,0.17560123048933082,5000
palsar_l,2,palsar_rfdi,-0.008467474422909996,0.1785214614131978,5000
palsar_l,2,elevation,5.814928607986924,0.3831996577630493,5000
palsar_l,2,slope,0.7977685764214092,0.17534264653100895,5000
palsar_l,2,aspect_sin,-0.10154225742111105,0.12294404745589003,5000
palsar_l,2,aspect_cos,-0.23871733438241924,0.1082424411980913,5000
palsar_l,3,palsar_hh_db,2.722958801504381,0.20657563528203435,5000
palsar_l,3,palsar_hv_db,9.574844683227647,0.302198124158878,5000
palsar_l,3,palsar_hh_minus_hv_db,-0.5467497446150844,0.03942195358642478,5000
palsar_l,3,palsar_rfdi,-0.665819392730422,0.002868864076194107,5000
palsar_l,3,elevation,3.78982960964998,0.3553010570439922,5000
palsar_l,3,slope,0.8176484800554675,0.221444058276561,5000
palsar_l,3,aspect_sin,0.26251587446057556,0.13524199844409523,5000
palsar_l,3,aspect_cos,0.11906828347994274,0.039765235538491324,5000
palsar_l,4,palsar_hh_db,2.282265854888943,0.05791080812047368,5000
palsar_l,4,palsar_hv_db,10.067465291446561,0.1606347377994642,5000
palsar_l,4,palsar_hh_minus_hv_db,0.017963959972471837,0.12084447565606708,5000
palsar_l,4,palsar_rfdi,0.04411235777200299,0.12413835816054934,5000
palsar_l,4,elevation,6.1892394740394066,0.037097911738066994,5000
palsar_l,4,slope,1.1227237197410556,0.16039974654921435,5000
palsar_l,4,aspect_sin,-0.28807816602697756,0.08450628692889176,5000
palsar_l,4,aspect_cos,-0.1553416950050206,0.0978342732764699,5000
sentinel1_c_palsar_l,0,VV,0.6204112653024509,0.15718594928240137,5000
sentinel1_c_palsar_l,0,VH,3.3939422330150677,0.287701255417139,5000
sentinel1_c_palsar_l,0,VV_minus_VH,0.5158314757697345,0.026853099375468585,5000
sentinel1_c_palsar_l,0,palsar_hh_db,1.3590437810178362,0.08194415019015185,5000
sentinel1_c_palsar_l,0,palsar_hv_db,7.444970685032217,0.16219618991790535,5000
sentinel1_c_palsar_l,0,palsar_hh_minus_hv_db,0.11530173147462126,0.08104182935185555,5000
sentinel1_c_palsar_l,0,palsar_rfdi,0.2145778830395623,0.024565372973801212,5000
sentinel1_c_palsar_l,0,elevation,5.507237956103348,0.18975460352638726,5000
sentinel1_c_palsar_l,0,slope,1.378852238976748,0.06418290433523491,5000
sentinel1_c_palsar_l,0,aspect_sin,0.013927105248654925,0.06293905968512462,5000
sentinel1_c_palsar_l,0,aspect_cos,0.037033095485322555,0.05643440563618659,5000
sentinel1_c_palsar_l,1,VV,0.3760906603197706,0.16626952444516108,5000
sentinel1_c_palsar_l,1,VH,2.9235788073725644,0.09715187361977724,5000
sentinel1_c_palsar_l,1,VV_minus_VH,0.7069326218661681,0.013378448370884725,5000
sentinel1_c_palsar_l,1,palsar_hh_db,1.2302843206295364,0.023241749587365756,5000
sentinel1_c_palsar_l,1,palsar_hv_db,7.460140870067822,0.09339422867582911,5000
sentinel1_c_palsar_l,1,palsar_hh_minus_hv_db,0.20247645897912037,0.06194143735530007,5000
sentinel1_c_palsar_l,1,palsar_rfdi,0.22237307940443904,0.034661379663283746,5000
sentinel1_c_palsar_l,1,elevation,7.715334734788172,0.3629354914036996,5000
sentinel1_c_palsar_l,1,slope,0.859187554392785,0.03355037618283456,5000
sentinel1_c_palsar_l,1,aspect_sin,0.2614308584196105,0.1532813316244165,5000
sentinel1_c_palsar_l,1,aspect_cos,0.18928100791735383,0.13633312096651995,5000
sentinel1_c_palsar_l,2,VV,0.955786957407407,0.10448900934935537,5000
sentinel1_c_palsar_l,2,VH,3.036031653581915,0.2617704618051504,5000
sentinel1_c_palsar_l,2,VV_minus_VH,0.5276444281171422,0.026049443885603485,5000
sentinel1_c_palsar_l,2,palsar_hh_db,1.1291944479617182,0.1435035440228409,5000
sentinel1_c_palsar_l,2,palsar_hv_db,6.084899847972655,0.29391666171194336,5000
sentinel1_c_palsar_l,2,palsar_hh_minus_hv_db,0.13654560013180136,0.07729174428538015,5000
sentinel1_c_palsar_l,2,palsar_rfdi,0.13428691393275946,0.08132483731841529,5000
sentinel1_c_palsar_l,2,elevation,5.802951913146941,0.2907091143607599,5000
sentinel1_c_palsar_l,2,slope,0.8473428147510115,0.01994551570552934,5000
sentinel1_c_palsar_l,2,aspect_sin,0.132411588860928,0.0589412319585678,5000
sentinel1_c_palsar_l,2,aspect_cos,0.06461402947622237,0.05926970345379044,5000
sentinel1_c_palsar_l,3,VV,1.1087983113434632,0.15649525098823,5000
sentinel1_c_palsar_l,3,VH,3.6370047634464933,0.21283623626567666,5000
sentinel1_c_palsar_l,3,VV_minus_VH,0.3472708970559258,0.05769735175927677,5000
sentinel1_c_palsar_l,3,palsar_hh_db,1.2000186986309747,0.14894388070793954,5000
sentinel1_c_palsar_l,3,palsar_hv_db,6.547807931450336,0.2693075114115207,5000
sentinel1_c_palsar_l,3,palsar_hh_minus_hv_db,-0.11582995991329408,0.03679701799433633,5000
sentinel1_c_palsar_l,3,palsar_rfdi,-0.18518145908100792,0.044656855754403264,5000
sentinel1_c_palsar_l,3,elevation,3.8324760198880057,0.25918011797370843,5000
sentinel1_c_palsar_l,3,slope,0.9135159982635059,0.17310569106959334,5000
sentinel1_c_palsar_l,3,aspect_sin,0.5394322845116287,0.08370683194234037,5000
sentinel1_c_palsar_l,3,aspect_cos,0.40732342106111236,0.01810265207219791,5000
sentinel1_c_palsar_l,4,VV,0.6782685277749559,0.023978152143921957,5000
sentinel1_c_palsar_l,4,VH,3.6146654178769353,0.1577954587317935,5000
sentinel1_c_palsar_l,4,VV_minus_VH,0.7231141828730804,0.07237558949847071,5000
sentinel1_c_palsar_l,4,palsar_hh_db,1.103482759089161,0.05823678784245143,5000
sentinel1_c_palsar_l,4,palsar_hv_db,7.602759146063842,0.16638980284548158,5000
sentinel1_c_palsar_l,4,palsar_hh_minus_hv_db,0.041279878108701006,0.06626713943210961,5000
sentinel1_c_palsar_l,4,palsar_rfdi,0.12955563464849718,0.06795060620708203,5000
sentinel1_c_palsar_l,4,elevation,6.026420315160948,0.11787899597645353,5000
sentinel1_c_palsar_l,4,slope,1.58098715864773,0.10391295754784294,5000
sentinel1_c_palsar_l,4,aspect_sin,0.22629253841603733,0.0059271921388543095,5000
