shot_number,lon,lat,year,spatial_block_id,spatial_fold,agbd,agbd_se
22930500300206857,-85.53853418915747,34.70045239275157,2019,EPSG5070_50KM_18_26,3,252.327835,10.308921813964844
22930500300206860,-85.53716078603301,34.69939112670085,2019,EPSG5070_50KM_18_26,3,11.919866561889648,10.306299209594728
46900100300206458,-85.54274803965298,34.6769350937957,2019,EPSG5070_50KM_18_26,3,120.430878,10.303083419799805
46900100300206459,-85.54230212954764,34.67658728391351,2019,EPSG5070_50KM_18_26,3,126.554031,10.29625129699707
46900100300206460,-85.54184730124018,34.676235014930306,2019,EPSG5070_50KM_18_26,3,267.421814,10.30576515197754
46900100300206463,-85.540496193621,34.67518712618275,2019,EPSG5070_50KM_18_26,3,298.928284,10.31014633178711
46900100300206464,-85.54004582441459,34.67483485719952,2019,EPSG5070_50KM_18_26,3,227.339935,10.306771278381348
46900100300206465,-85.53959545520819,34.67448704731735,2019,EPSG5070_50KM_18_26,3,32.097851,10.29886531829834
46900100300206487,-85.52964720075795,34.66674604788856,2019,EPSG5070_50KM_18_26,3,85.338997,10.29799461364746
46900200300211549,-85.54502664029128,34.67424625586046,2019,EPSG5070_50KM_18_26,3,358.159637,10.320775985717772
46900200300211551,-85.54413927918165,34.673546176995075,2019,EPSG5070_50KM_18_26,3,444.537079,10.325511932373049
46900200300211552,-85.54370674637947,34.67319390801185,2019,EPSG5070_50KM_18_26,3,318.950958,10.31474494934082
46900200300211553,-85.54326083627413,34.67284609812969,2019,EPSG5070_50KM_18_26,3,322.783173,10.312732696533203
46900200300211554,-85.54281492616879,34.67249382914646,2019,EPSG5070_50KM_18_26,3,331.609711,10.31328010559082
46900200300211557,-85.5414816549538,34.6714459403989,2019,EPSG5070_50KM_18_26,3,400.5047302246094,10.327749252319336
46900200300211558,-85.54058983474312,34.67074586153351,2019,EPSG5070_50KM_18_26,3,306.40329,10.306551933288574
46900200300211559,-85.54014838373882,34.67039359255028,2019,EPSG5070_50KM_18_26,3,214.186905,10.299792289733888
46900200300211560,-85.53970693273453,34.67004578266812,2019,EPSG5070_50KM_18_26,3,140.186432,10.296003341674805
46900200300211573,-85.53391010136505,34.665501958694655,2019,EPSG5070_50KM_18_26,3,253.878647,10.310291290283203
46900200300211576,-85.53254561644269,34.66444961084604,2019,EPSG5070_50KM_18_26,3,240.722015,10.308320999145508
46900200300211579,-85.53117221331823,34.66339280389638,2019,EPSG5070_50KM_18_26,3,165.483627,10.29914093017578
46900200300211580,-85.53071292590973,34.663040534913144,2019,EPSG5070_50KM_18_26,3,170.323746,10.302512168884276
46900200300211582,-85.52979435109272,34.6623359969467,2019,EPSG5070_50KM_18_26,3,115.156723,10.294584274291992
46900300300206420,-85.54299329021092,34.665368185663056,2019,EPSG5070_50KM_18_26,3,287.370575,10.31011962890625
46900300300206421,-85.54254738010557,34.665020375780884,2019,EPSG5070_50KM_18_26,3,197.449966,10.299266815185549
46900300300206425,-85.54036687969044,34.66328578547109,2019,EPSG5070_50KM_18_26,3,187.086197,10.30199909210205
46900300300206431,-85.537660205351,34.66117663067281,2019,EPSG5070_50KM_18_26,3,164.523956,10.303576469421388
46900300300206432,-85.53720537704355,34.6608243616896,2019,EPSG5070_50KM_18_26,3,170.084732,10.296268463134766
46900300300206434,-85.53629572042864,34.66011982372315,2019,EPSG5070_50KM_18_26,3,127.593842,10.294926643371582
46900300300206436,-85.53538606381375,34.65941974485776,2019,EPSG5070_50KM_18_26,3,212.606049,10.302986145019531
46900300300206438,-85.53447194809779,34.65871520689132,2019,EPSG5070_50KM_18_26,3,136.158371,10.295266151428224
22120500200079492,-85.5389042945449,34.9342073881753,2019,EPSG5070_50KM_18_27,1,14.297934532165527,10.304827690124512
31590000200254772,-85.567696710047,34.84163645030577,2019,EPSG5070_50KM_18_27,1,120.65052032470705,10.298211097717283
31590000200254789,-85.55994233331506,34.84764285942475,2019,EPSG5070_50KM_18_27,1,16.39448356628418,10.30369758605957
31590000200254790,-85.55948750500761,34.84799512840797,2019,EPSG5070_50KM_18_27,1,20.98106002807617,10.30202865600586
31590000200254792,-85.55857784839272,34.84870412547548,2019,EPSG5070_50KM_18_27,1,13.805298805236816,10.305414199829102
31590000200254831,-85.54081724889684,34.86246491132641,2019,EPSG5070_50KM_18_27,1,279.175079,10.308294296264648
31590000200254833,-85.53990759228193,34.863169449292855,2019,EPSG5070_50KM_18_27,1,244.041916,10.306431770324709
31590000200254846,-85.5339814469819,34.86776232337792,2019,EPSG5070_50KM_18_27,1,187.703125,10.304204940795898
31590000200254859,-85.52759601427337,34.87269854824407,2019,EPSG5070_50KM_18_27,1,65.945641,10.295367240905762
31590000200254861,-85.52668189855741,34.87340308621052,2019,EPSG5070_50KM_18_27,1,51.41549301147461,10.2965087890625
31590000200254874,-85.52073791685316,34.8779825829924,2019,EPSG5070_50KM_18_27,1,96.35877990722656,10.296780586242676
31590000200254878,-85.51891414452231,34.87939611802636,2019,EPSG5070_50KM_18_27,1,145.793488,10.300345420837402
31590000200254880,-85.5179955697053,34.88010065599279,2019,EPSG5070_50KM_18_27,1,73.38887023925781,10.29627799987793
31590000200254881,-85.5175362822968,34.88045292497601,2019,EPSG5070_50KM_18_27,1,90.37269592285156,10.29651927947998
31590000200254886,-85.51525322255743,34.882209810791075,2019,EPSG5070_50KM_18_27,1,168.452484,10.301406860351562
31590000200254900,-85.50885441254573,34.88714603565724,2019,EPSG5070_50KM_18_27,1,192.694016,10.299691200256348
31590000200254902,-85.50794029682979,34.88784611452263,2019,EPSG5070_50KM_18_27,1,209.756134,10.302199363708496
31590100200254756,-85.57115251336343,34.83129133586177,2019,EPSG5070_50KM_18_27,1,10.822311401367188,10.307262420654297
31590100200254758,-85.57023839764747,34.83199587382822,2019,EPSG5070_50KM_18_27,1,221.80718994140625,10.299511909484863
31590100200254780,-85.56019650207512,34.839754709661214,2019,EPSG5070_50KM_18_27,1,54.085098,10.296472549438477
31590100200254793,-85.55429265228035,34.8443342064431,2019,EPSG5070_50KM_18_27,1,263.183655,10.307296752929688
31590100200254798,-85.55201405164203,34.84610446956131,2019,EPSG5070_50KM_18_27,1,218.822403,10.301207542419434
31590100200254813,-85.54518716792921,34.85139742251175,2019,EPSG5070_50KM_18_27,1,12.514888763427734,10.305992126464844
31590100200254829,-85.53789207860578,34.857042644445414,2019,EPSG5070_50KM_18_27,1,45.803478,10.297026634216309
31590100200254848,-85.52922358615788,34.86375359153086,2019,EPSG5070_50KM_18_27,1,43.151249,10.29709815979004
31590100200254898,-85.50592924225468,34.88173268697835,2019,EPSG5070_50KM_18_27,1,23.3649845123291,10.302170753479004
31590100200254900,-85.50501512653872,34.882437224944795,2019,EPSG5070_50KM_18_27,1,11.607003211975098,10.306650161743164
31590200200254830,-85.56206932451757,34.831456322600744,2019,EPSG5070_50KM_18_27,1,394.660156,10.325480461120604
31590200200254831,-85.56161449621011,34.831808591583965,2019,EPSG5070_50KM_18_27,1,253.252747,10.306260108947754
31590200200254851,-85.55250455275792,34.83886734855159,2019,EPSG5070_50KM_18_27,1,16.410594940185547,10.303871154785156
31590200200254863,-85.54702877666429,34.84309457635024,2019,EPSG5070_50KM_18_27,1,49.280441,10.29702377319336
31590200200254866,-85.54565983264088,34.84415138329991,2019,EPSG5070_50KM_18_27,1,24.070101,10.300959587097168
31590200200254895,-85.53242522071425,34.85439393841968,2019,EPSG5070_50KM_18_27,1,289.905701,10.306743621826172
31590200200254898,-85.53105627669085,34.855455204470395,2019,EPSG5070_50KM_18_27,1,235.340302,10.300992012023926
31590200200254902,-85.52923696346103,34.856868739504336,2019,EPSG5070_50KM_18_27,1,66.548462,10.2959623336792
31590200200254912,-85.52467976218442,34.86039588843762,2019,EPSG5070_50KM_18_27,1,28.17264747619629,10.29948616027832
31590200200254914,-85.52377010556951,34.86110488550512,2019,EPSG5070_50KM_18_27,1,11.24094009399414,10.307003021240234
31590200200254926,-85.51829432947588,34.86533657240484,2019,EPSG5070_50KM_18_27,1,63.89519500732422,10.300248146057127
31590200200254928,-85.51738021375992,34.86604111037128,2019,EPSG5070_50KM_18_27,1,12.72869110107422,10.305956840515137
31590200200254955,-85.50505971754926,34.87557466842355,2019,EPSG5070_50KM_18_27,1,24.10857963562012,10.300883293151855
31590200200254957,-85.5041456018333,34.87628366549105,2019,EPSG5070_50KM_18_27,1,158.7426300048828,10.30047607421875
31590300200254796,-85.57418024297871,34.81438688376816,2019,EPSG5070_50KM_18_27,1,356.372559,10.323673248291016
31590300200254800,-85.57235647064786,34.815800418802105,2019,EPSG5070_50KM_18_27,1,191.190811,10.302448272705078
31590300200254812,-85.56688515365528,34.82002764660077,2019,EPSG5070_50KM_18_27,1,293.383575,10.308229446411133
31590300200254822,-85.5623234932776,34.82356371373616,2019,EPSG5070_50KM_18_27,1,11.513330459594728,10.306720733642578
31590300200254827,-85.5600448926393,34.82532951775331,2019,EPSG5070_50KM_18_27,1,21.549591064453125,10.3014497756958
31590300200254829,-85.55913077692334,34.826038514820816,2019,EPSG5070_50KM_18_27,1,84.88560485839844,10.297602653503418
31590300200254832,-85.55776629200099,34.82709978087154,2019,EPSG5070_50KM_18_27,1,99.031532,10.295830726623535
31590300200254880,-85.53587210582856,34.84403990577358,2019,EPSG5070_50KM_18_27,1,140.803513,10.297228813171388
31590300200254890,-85.53130598634984,34.84756705470686,2019,EPSG5070_50KM_18_27,1,60.1151237487793,10.295565605163574
31590300200254892,-85.53039632973494,34.84827159267329,2019,EPSG5070_50KM_18_27,1,248.709137,10.308186531066896
31590300200254898,-85.52766290078917,34.85039412477473,2019,EPSG5070_50KM_18_27,1,55.98121643066406,10.296588897705078
31590300200254946,-85.5057731737178,34.86733870877782,2019,EPSG5070_50KM_18_27,1,13.725858688354492,10.305123329162598
31590300200254954,-85.50212116995503,34.87016577884572,2019,EPSG5070_50KM_18_27,1,45.406872,10.297147750854492
31590500200254752,-85.56645707995415,34.81186749167296,2019,EPSG5070_50KM_18_27,1,11.319844245910645,10.30660915374756
31590500200254762,-85.56189541957647,34.815399099707285,2019,EPSG5070_50KM_18_27,1,212.327042,10.299579620361328
31590500200254788,-85.55003866987536,34.82456701147318,2019,EPSG5070_50KM_18_27,1,210.390503,10.300268173217772
31590500200254791,-85.5486652667509,34.82562827752389,2019,EPSG5070_50KM_18_27,1,49.09059524536133,10.29696273803711
31590500200254797,-85.54593183780514,34.82774189142323,2019,EPSG5070_50KM_18_27,1,338.707886,10.309733390808104
31590500200254821,-85.53499812202209,34.836223101626885,2019,EPSG5070_50KM_18_27,1,148.682083,10.298304557800291
31590500200254832,-85.52998609243802,34.84010251954339,2019,EPSG5070_50KM_18_27,1,113.240372,10.296143531799316
31590500200254834,-85.52907197672208,34.84081151661088,2019,EPSG5070_50KM_18_27,1,10.561212539672852,10.307130813598633
31590500200254838,-85.5272482043912,34.84222059254376,2019,EPSG5070_50KM_18_27,1,31.153844833374023,10.298863410949709
31590500200254841,-85.52587926036779,34.84327739949344,2019,EPSG5070_50KM_18_27,1,22.37405014038086,10.301152229309082
31590500200254848,-85.52268654401352,34.845747741477055,2019,EPSG5070_50KM_18_27,1,25.281496047973636,10.300406455993652
31590500200254852,-85.51994865596672,34.84786581447742,2019,EPSG5070_50KM_18_27,1,177.812012,10.302955627441406
31590500200254857,-85.5176700553284,34.849636077595655,2019,EPSG5070_50KM_18_27,1,92.168732,10.29641819000244
31590500200254862,-85.51538699558904,34.85139742251175,2019,EPSG5070_50KM_18_27,1,169.28713989257812,10.299503326416016
31590500200254873,-85.51036604780286,34.85528575863036,2019,EPSG5070_50KM_18_27,1,46.947731,10.296671867370604
31590500200254876,-85.5089926446784,34.85634256558004,2019,EPSG5070_50KM_18_27,1,49.541759,10.296422004699709
31590500200254879,-85.50762370065499,34.8573993725297,2019,EPSG5070_50KM_18_27,1,63.26926040649414,10.29708766937256
31590600200254740,-85.56639019343835,34.80424688797263,2019,EPSG5070_50KM_18_27,1,208.768478,10.303272247314451
31590600200254769,-85.55318233611804,34.81449390219344,2019,EPSG5070_50KM_18_27,1,70.608589,10.298728942871094
31590600200254783,-85.54679244430845,34.819430127059604,2019,EPSG5070_50KM_18_27,1,122.197433,10.30580997467041
31590600200254785,-85.54588278769356,34.82013466502606,2019,EPSG5070_50KM_18_27,1,35.08004379272461,10.299809455871582
31590600200254787,-85.5449686719776,34.820839202992495,2019,EPSG5070_50KM_18_27,1,11.9806547164917,10.30537223815918
31590600200254840,-85.52079588516686,34.83955405011381,2019,EPSG5070_50KM_18_27,1,169.9478302001953,10.29947280883789
31590600200254843,-85.51942694114345,34.840615316164524,2019,EPSG5070_50KM_18_27,1,399.065369,10.322184562683104
31590600200254848,-85.51714834050516,34.84238112018169,2019,EPSG5070_50KM_18_27,1,15.0103120803833,10.304019927978516
31590600200254869,-85.50757019144234,34.849792146132515,2019,EPSG5070_50KM_18_27,1,25.585199,10.30008029937744
31590600200254874,-85.505287131703,34.85155795014969,2019,EPSG5070_50KM_18_27,1,220.4790802001953,10.304473876953123
31590600200254878,-85.50346781847317,34.85296702608258,2019,EPSG5070_50KM_18_27,1,10.4717378616333,10.307202339172363
31590800200254637,-85.56951156417576,34.79343356791802,2019,EPSG5070_50KM_18_27,1,23.2106876373291,10.300756454467772
31590800200254643,-85.56677813523,34.7955516409184,2019,EPSG5070_50KM_18_27,1,389.668854,10.323166847229004
31590800200254649,-85.56404470628424,34.797665254817744,2019,EPSG5070_50KM_18_27,1,189.771988,10.300952911376951
31590800200254661,-85.5585689301906,34.8018924826164,2019,EPSG5070_50KM_18_27,1,418.621704,10.324928283691406
31590800200254668,-85.55446209812038,34.80506736256646,2019,EPSG5070_50KM_18_27,1,331.084229,10.31410026550293
31590800200254689,-85.54490178546179,34.81248284761835,2019,EPSG5070_50KM_18_27,1,39.00834655761719,10.297618865966797
31590800200254691,-85.5439921288469,34.81318738558479,2019,EPSG5070_50KM_18_27,1,51.271198,10.296464920043944
31590800200254696,-85.54170906910753,34.814957648703,2019,EPSG5070_50KM_18_27,1,23.294681549072266,10.300860404968262
31590800200254708,-85.536242211216,34.81919379470377,2019,EPSG5070_50KM_18_27,1,198.950684,10.30275535583496
31590800200254712,-85.53441397978409,34.82060287063666,2019,EPSG5070_50KM_18_27,1,63.89019393920898,10.296177864074709
31590800200254715,-85.53305395396279,34.82165967758633,2019,EPSG5070_50KM_18_27,1,175.444595,10.2985258102417
31590800200254724,-85.52894266279152,34.82484347573849,2019,EPSG5070_50KM_18_27,1,405.348724,10.325587272644045
31590800200254732,-85.52529511812979,34.82766608670532,2019,EPSG5070_50KM_18_27,1,241.664062,10.301018714904783
31590800200254752,-85.51616733827339,34.83472484367293,2019,EPSG5070_50KM_18_27,1,17.901582717895508,10.302675247192385
31590800200254757,-85.51388427853402,34.836490647690084,2019,EPSG5070_50KM_18_27,1,454.916473,10.331332206726074
31590800200254765,-85.5102367338723,34.83929988135376,2019,EPSG5070_50KM_18_27,1,239.436142,10.305509567260742
31591100200254834,-85.55338745476651,34.79833411997576,2019,EPSG5070_50KM_18_27,1,251.901398,10.302116394042969
31591100200254841,-85.55019027931118,34.800804461959366,2019,EPSG5070_50KM_18_27,1,63.65962219238281,10.297951698303224
31591100200254851,-85.54563307803456,34.80432715179159,2019,EPSG5070_50KM_18_27,1,28.53003692626953,10.299342155456545
31591100200254859,-85.54198553337284,34.80715422185947,2019,EPSG5070_50KM_18_27,1,199.225891,10.30231761932373
31591100200254885,-85.53012878367174,34.81635780643378,2019,EPSG5070_50KM_18_27,1,236.641251,10.3092679977417
31591100200254915,-85.51646163894291,34.82692587593045,2019,EPSG5070_50KM_18_27,1,136.637299,10.296825408935549
31591100200254932,-85.50868942580676,34.8329456623526,2019,EPSG5070_50KM_18_27,1,474.030518,10.331291198730469
31591100200254936,-85.50686119437485,34.834359197386554,2019,EPSG5070_50KM_18_27,1,284.415588,10.318937301635742
37850000200254841,-85.59911999517064,34.96419930186078,2019,EPSG5070_50KM_18_27,1,14.443571090698242,10.305120468139648
37850000200254842,-85.59866070776214,34.964551570844,2019,EPSG5070_50KM_18_27,1,13.23688507080078,10.30556297302246
37850000200254850,-85.59500870399937,34.96735634540662,2019,EPSG5070_50KM_18_27,1,10.934976577758787,10.306785583496094
37850000200254857,-85.59180706944299,34.96981331008707,2019,EPSG5070_50KM_18_27,1,172.832901,10.297218322753906
37850000200254862,-85.58951063240046,34.97157465500318,2019,EPSG5070_50KM_18_27,1,269.392151,10.309849739074709
37850100200254857,-85.58740593670323,34.96542555465049,2019,EPSG5070_50KM_18_27,1,51.46403503417969,10.29624080657959
37850100200254872,-85.58051662557567,34.9707006711967,2019,EPSG5070_50KM_18_27,1,163.852844,10.298338890075684
37850100200254891,-85.57186151043092,34.97734919086739,2019,EPSG5070_50KM_18_27,1,214.791153,10.300359725952148
37850100200254905,-85.56546715952028,34.98225866112725,2019,EPSG5070_50KM_18_27,1,96.198532,10.29823398590088
37850200200254836,-85.59579796488582,34.95201703778277,2019,EPSG5070_50KM_18_27,1,110.03421020507812,10.297115325927734
37850200200254849,-85.58942145037939,34.95692204894156,2019,EPSG5070_50KM_18_27,1,13.536730766296388,10.305460929870604
37850200200254863,-85.58301818126665,34.96183597830245,2019,EPSG5070_50KM_18_27,1,263.372681,10.302668571472168
37850200200254866,-85.58163140083903,34.962897244353165,2019,EPSG5070_50KM_18_27,1,28.607797622680664,10.299863815307615
37850200200254887,-85.57203095627098,34.97026813839452,2019,EPSG5070_50KM_18_27,1,165.167923,10.29692840576172
37850200200254924,-85.55514879968261,34.983226286055825,2019,EPSG5070_50KM_18_27,1,11.590163230895996,10.306733131408691
37850300200254841,-85.59322952267904,34.94622912461539,2019,EPSG5070_50KM_18_27,1,357.957489,10.313968658447266
37850300200254846,-85.59092862653546,34.9479904695315,2019,EPSG5070_50KM_18_27,1,256.904083,10.306788444519045
37850300200254850,-85.58909147690144,34.94939508636334,2019,EPSG5070_50KM_18_27,1,264.9551696777344,10.306793212890623
37850300200254861,-85.58364245541414,34.95359110045463,2019,EPSG5070_50KM_18_27,1,110.091957,10.297340393066406
37850300200254866,-85.58135493657372,34.9553479862697,2019,EPSG5070_50KM_18_27,1,124.691879,10.294710159301758
37850300200254868,-85.58044082085776,34.956052524236135,2019,EPSG5070_50KM_18_27,1,252.844879,10.304309844970703
37850300200254873,-85.57812654741102,34.957813869152254,2019,EPSG5070_50KM_18_27,1,68.809326171875,10.295450210571287
37850300200254874,-85.57766280090146,34.958166138135475,2019,EPSG5070_50KM_18_27,1,403.298767,10.316368103027344
37850300200254878,-85.5758301103685,34.959575214068366,2019,EPSG5070_50KM_18_27,1,70.28831481933594,10.296483993530272
37850300200254925,-85.55393592419607,34.9763904841409,2019,EPSG5070_50KM_18_27,1,158.621384,10.300146102905272
37850500200254944,-85.59562851904579,34.93577699174611,2019,EPSG5070_50KM_18_27,1,316.381592,10.313860893249512
37850500200255009,-85.56546715952028,34.95892864441561,2019,EPSG5070_50KM_18_27,1,68.99040985107422,10.29734230041504
37850500200255014,-85.56318409978093,34.96068107112961,2019,EPSG5070_50KM_18_27,1,53.97544479370117,10.297318458557127
37850500200255054,-85.54490178546179,34.9747138621448,2019,EPSG5070_50KM_18_27,1,210.267746,10.30522346496582
37850500200255065,-85.5398630012714,34.97857544365709,2019,EPSG5070_50KM_18_27,1,281.304474,10.308615684509276
37850500200255072,-85.53664798941186,34.98103240833754,2019,EPSG5070_50KM_18_27,1,300.432983,10.31387710571289
37850600200254838,-85.59502208130253,34.92849973882689,2019,EPSG5070_50KM_18_27,1,132.956299,10.29482364654541
37850600200254839,-85.59456725299508,34.928852007810114,2019,EPSG5070_50KM_18_27,1,196.870285,10.300610542297363
37850600200254843,-85.59274348066421,34.9302521655409,2019,EPSG5070_50KM_18_27,1,13.94325065612793,10.304944038391112
37850600200254855,-85.58725878636848,34.934461556935354,2019,EPSG5070_50KM_18_27,1,110.63936614990234,10.301392555236816
37850600200254857,-85.58634912975357,34.935166094901795,2019,EPSG5070_50KM_18_27,1,260.529297,10.30908203125
37850600200254874,-85.57858137571847,34.94112791301026,2019,EPSG5070_50KM_18_27,1,52.384037017822266,10.297456741333008
37850600200254887,-85.57264185311529,34.94569403248898,2019,EPSG5070_50KM_18_27,1,94.933662,10.30276584625244
37850600200254909,-85.56255090743133,34.9534127364125,2019,EPSG5070_50KM_18_27,1,156.497849,10.29566764831543
37850600200254927,-85.55434616149299,34.95972236440312,2019,EPSG5070_50KM_18_27,1,234.115509,10.302964210510254
37850600200254930,-85.55297721746959,34.960774712251734,2019,EPSG5070_50KM_18_27,1,309.364471,10.310188293457031
37850600200254951,-85.54339015020467,34.96813668809097,2019,EPSG5070_50KM_18_27,1,11.158197402954102,10.306732177734377
37850600200254953,-85.54247603448871,34.96884122605742,2019,EPSG5070_50KM_18_27,1,191.697693,10.30442714691162
37850600200254963,-85.53790991500999,34.972346079485426,2019,EPSG5070_50KM_18_27,1,163.104263,10.30201816558838
37850600200254965,-85.53699579929403,34.97305061745187,2019,EPSG5070_50KM_18_27,1,156.389313,10.298222541809082
37850600200254978,-85.53103398118557,34.97761227782955,2019,EPSG5070_50KM_18_27,1,403.637268,10.327754974365234
37850600200254981,-85.52965611896006,34.97866462567816,2019,EPSG5070_50KM_18_27,1,238.770615,10.307442665100098
37850600200254992,-85.52462179387072,34.98251728898834,2019,EPSG5070_50KM_18_27,1,306.185486,10.309709548950195
37850800200254788,-85.59288617189793,34.92163272320459,2019,EPSG5070_50KM_18_27,1,18.86313247680664,10.30225944519043
37850800200254789,-85.59243134359048,34.92198499218781,2019,EPSG5070_50KM_18_27,1,10.618684768676758,10.307226181030272
37850800200254812,-85.58192570150855,34.930055965094546,2019,EPSG5070_50KM_18_27,1,14.794137001037598,10.304532051086426
37850800200254818,-85.57918335436068,34.93216066079178,2019,EPSG5070_50KM_18_27,1,154.577164,10.296956062316896
37850800200254827,-85.57507206318941,34.93531770433761,2019,EPSG5070_50KM_18_27,1,166.94989013671875,10.29823398590088
37850800200254834,-85.57187042863303,34.937770209917005,2019,EPSG5070_50KM_18_27,1,299.887756,10.306585311889648
37850800200254838,-85.57003773810007,34.93917482674884,2019,EPSG5070_50KM_18_27,1,259.244324,10.30271053314209
37850800200254846,-85.5663857343373,34.94197960131146,2019,EPSG5070_50KM_18_27,1,11.659915924072266,10.306489944458008
37850800200254863,-85.55861352120114,34.94794587852097,2019,EPSG5070_50KM_18_27,1,299.1361999511719,10.307312965393066
37850800200254867,-85.55679420797134,34.9493504953528,2019,EPSG5070_50KM_18_27,1,159.574219,10.300501823425291
37850800200254871,-85.55496597653944,34.950755112184645,2019,EPSG5070_50KM_18_27,1,238.147736,10.306138038635254
37850800200254874,-85.55359257341496,34.951803000932195,2019,EPSG5070_50KM_18_27,1,301.209229,10.310795783996582
37850800200254876,-85.552678457699,34.95250753889865,2019,EPSG5070_50KM_18_27,1,222.315659,10.303363800048828
37850800200254879,-85.55130951367559,34.953559886747264,2019,EPSG5070_50KM_18_27,1,49.947109,10.297329902648926
